neutral1 0 = Cam16Ucs(J=100.0, C=2.2084816, h=209.4927196452843)
neutral1 10 = Cam16Ucs(J=98.077286, C=2.1880777, h=209.4925709298304)
neutral1 50 = Cam16Ucs(J=92.8308, C=2.1312075, h=209.49243248093396)
neutral1 100 = Cam16Ucs(J=86.24347, C=2.05717, h=209.4920090662484)
neutral1 200 = Cam16Ucs(J=73.39204, C=1.9028162, h=209.49368985621547)
neutral1 300 = Cam16Ucs(J=61.44706, C=1.7452142, h=209.49375913763424)
neutral1 400 = Cam16Ucs(J=49.99679, C=1.5771744, h=209.49630050100527)
neutral1 500 = Cam16Ucs(J=39.11102, C=1.3965627, h=209.4944966128844)
neutral1 600 = Cam16Ucs(J=30.351782, C=1.2301126, h=209.49464622026926)
neutral1 700 = Cam16Ucs(J=21.80448, C=1.0403436, h=209.4930626613441)
neutral1 800 = Cam16Ucs(J=14.609172, C=0.8463703, h=209.49561806975785)
neutral1 900 = Cam16Ucs(J=8.459497, C=0.63425946, h=209.49505575029764)
neutral1 1000 = Cam16Ucs(J=0.0, C=0.0, h=0.0)
neutral2 0 = Cam16Ucs(J=100.0, C=2.2084816, h=209.4927196452843)
neutral2 10 = Cam16Ucs(J=98.077286, C=2.1880777, h=209.4925709298304)
neutral2 50 = Cam16Ucs(J=92.8308, C=2.1312075, h=209.49243248093396)
neutral2 100 = Cam16Ucs(J=86.24347, C=2.05717, h=209.4920090662484)
neutral2 200 = Cam16Ucs(J=73.39204, C=1.9028162, h=209.49368985621547)
neutral2 300 = Cam16Ucs(J=61.44706, C=1.7452142, h=209.49375913763424)
neutral2 400 = Cam16Ucs(J=49.99679, C=1.5771744, h=209.49630050100527)
neutral2 500 = Cam16Ucs(J=39.11102, C=1.3965627, h=209.4944966128844)
neutral2 600 = Cam16Ucs(J=30.351782, C=1.2301126, h=209.49464622026926)
neutral2 700 = Cam16Ucs(J=21.80448, C=1.0403436, h=209.4930626613441)
neutral2 800 = Cam16Ucs(J=14.609172, C=0.8463703, h=209.49561806975785)
neutral2 900 = Cam16Ucs(J=8.459497, C=0.63425946, h=209.49505575029764)
neutral2 1000 = Cam16Ucs(J=0.0, C=0.0, h=0.0)
accent1 0 = Cam16Ucs(J=100.0, C=2.2084816, h=209.4927196452843)
accent1 10 = Cam16Ucs(J=98.21082, C=7.051848, h=189.18640450575148)
accent1 50 = Cam16Ucs(J=89.83201, C=23.815899, h=187.3376489909063)
accent1 100 = Cam16Ucs(J=84.6937, C=24.575848, h=183.96811287632497)
accent1 200 = Cam16Ucs(J=71.88258, C=24.424492, h=184.03824510417047)
accent1 300 = Cam16Ucs(J=59.90642, C=24.447948, h=184.21898564617004)
accent1 400 = Cam16Ucs(J=48.92976, C=24.346462, h=184.30557890020214)
accent1 500 = Cam16Ucs(J=37.488102, C=24.004688, h=184.09907492741934)
accent1 600 = Cam16Ucs(J=29.8377, C=22.028622, h=182.88657940905068)
accent1 700 = Cam16Ucs(J=23.111145, C=20.402967, h=176.9164613240527)
accent1 800 = Cam16Ucs(J=15.859938, C=17.544071, h=175.5482653599264)
accent1 900 = Cam16Ucs(J=8.521901, C=14.546855, h=164.25930168615284)
accent1 1000 = Cam16Ucs(J=0.0, C=0.0, h=0.0)
accent2 0 = Cam16Ucs(J=100.0, C=2.2084816, h=209.4927196452843)
accent2 10 = Cam16Ucs(J=98.095856, C=7.360175, h=189.5691412607383)
accent2 50 = Cam16Ucs(J=92.25768, C=15.039309, h=185.281886250206)
accent2 100 = Cam16Ucs(J=85.37998, C=14.892279, h=186.28880602376023)
accent2 200 = Cam16Ucs(J=72.70828, C=14.848267, h=185.7210400519662)
accent2 300 = Cam16Ucs(J=60.857838, C=15.02071, h=185.30251335653875)
accent2 400 = Cam16Ucs(J=49.597687, C=14.978883, h=184.59422287824236)
accent2 500 = Cam16Ucs(J=38.17529, C=14.889974, h=185.32671938259617)
accent2 600 = Cam16Ucs(J=29.956379, C=14.969206, h=184.6769360911683)
accent2 700 = Cam16Ucs(J=21.621983, C=14.9187, h=183.63994944286816)
accent2 800 = Cam16Ucs(J=14.382249, C=14.646128, h=184.13791136847712)
accent2 900 = Cam16Ucs(J=8.47828, C=12.759089, h=182.9103762557678)
accent2 1000 = Cam16Ucs(J=0.0, C=0.0, h=0.0)
accent3 0 = Cam16Ucs(J=100.0, C=2.2084816, h=209.4927196452843)
accent3 10 = Cam16Ucs(J=98.7385, C=2.6543489, h=285.0187671920788)
accent3 50 = Cam16Ucs(J=92.75059, C=9.61898, h=311.92290628001734)
accent3 100 = Cam16Ucs(J=86.643906, C=14.310189, h=305.5016852332592)
accent3 200 = Cam16Ucs(J=74.060616, C=16.788729, h=301.8279449001509)
accent3 300 = Cam16Ucs(J=61.95964, C=16.890837, h=301.49378362257664)
accent3 400 = Cam16Ucs(J=50.735302, C=16.733913, h=301.43583603618106)
accent3 500 = Cam16Ucs(J=39.31578, C=16.918413, h=301.0349873768156)
accent3 600 = Cam16Ucs(J=30.821472, C=17.03347, h=300.47307838098266)
accent3 700 = Cam16Ucs(J=22.428148, C=16.602547, h=300.5603717420172)
accent3 800 = Cam16Ucs(J=15.095682, C=16.440775, h=300.1334840294929)
accent3 900 = Cam16Ucs(J=8.78727, C=16.14797, h=297.7688993676835)
accent3 1000 = Cam16Ucs(J=0.0, C=0.0, h=0.0)
