neutral1 0 = Cam16(J=100.0, M=2.2650306, C=2.8690062, h=209.49272, Q=155.52122, s=12.068192)
neutral1 10 = Cam16(J=98.077286, M=2.243577, C=2.841832, h=209.49257, Q=154.01886, s=12.069341)
neutral1 50 = Cam16(J=92.8308, M=2.1838365, C=2.7661614, h=209.49243, Q=149.84274, s=12.072361)
neutral1 100 = Cam16(J=86.24347, M=2.1061788, C=2.6677961, h=209.492, Q=144.42848, s=12.075947)
neutral1 200 = Cam16(J=73.39204, M=1.944695, C=2.4632523, h=209.4937, Q=133.23372, s=12.081438)
neutral1 300 = Cam16(J=61.44706, M=1.7804021, C=2.2551503, h=209.49374, Q=121.91025, s=12.084785)
neutral1 400 = Cam16(J=49.99679, M=1.605875, C=2.0340853, h=209.49629, Q=109.9666, s=12.084411)
neutral1 500 = Cam16(J=39.11102, M=1.4190367, C=1.7974261, h=209.49449, Q=97.261116, s=12.078895)
neutral1 600 = Cam16(J=30.351782, M=1.2475249, C=1.5801802, h=209.49464, Q=85.68046, s=12.066566)
neutral1 700 = Cam16(J=21.80448, M=1.0527806, C=1.333507, h=209.49304, Q=72.621056, s=12.04031)
neutral1 800 = Cam16(J=14.609172, M=0.85458803, C=1.0824659, h=209.49562, Q=59.44324, s=11.99022)
neutral1 900 = Cam16(J=8.459497, M=0.6388659, C=0.8092209, h=209.49506, Q=45.23369, s=11.884306)
neutral1 1000 = Cam16(J=0.0, M=0.0, C=0.0, h=0.0, Q=0.0, s=0.0)
neutral2 0 = Cam16(J=100.0, M=2.2650306, C=2.8690062, h=209.49272, Q=155.52122, s=12.068192)
neutral2 10 = Cam16(J=98.077286, M=2.243577, C=2.841832, h=209.49257, Q=154.01886, s=12.069341)
neutral2 50 = Cam16(J=92.8308, M=2.1838365, C=2.7661614, h=209.49243, Q=149.84274, s=12.072361)
neutral2 100 = Cam16(J=86.24347, M=2.1061788, C=2.6677961, h=209.492, Q=144.42848, s=12.075947)
neutral2 200 = Cam16(J=73.39204, M=1.944695, C=2.4632523, h=209.4937, Q=133.23372, s=12.081438)
neutral2 300 = Cam16(J=61.44706, M=1.7804021, C=2.2551503, h=209.49374, Q=121.91025, s=12.084785)
neutral2 400 = Cam16(J=49.99679, M=1.605875, C=2.0340853, h=209.49629, Q=109.9666, s=12.084411)
neutral2 500 = Cam16(J=39.11102, M=1.4190367, C=1.7974261, h=209.49449, Q=97.261116, s=12.078895)
neutral2 600 = Cam16(J=30.351782, M=1.2475249, C=1.5801802, h=209.49464, Q=85.68046, s=12.066566)
neutral2 700 = Cam16(J=21.80448, M=1.0527806, C=1.333507, h=209.49304, Q=72.621056, s=12.04031)
neutral2 800 = Cam16(J=14.609172, M=0.85458803, C=1.0824659, h=209.49562, Q=59.44324, s=11.99022)
neutral2 900 = Cam16(J=8.459497, M=0.6388659, C=0.8092209, h=209.49506, Q=45.23369, s=11.884306)
neutral2 1000 = Cam16(J=0.0, M=0.0, C=0.0, h=0.0, Q=0.0, s=0.0)
accent1 0 = Cam16(J=100.0, M=2.2650306, C=2.8690062, h=209.49272, Q=155.52122, s=12.068192)
accent1 10 = Cam16(J=98.21082, M=7.650397, C=9.6903925, h=189.1864, Q=154.12369, s=22.279594)
accent1 50 = Cam16(J=89.83201, M=31.630127, C=40.064373, h=187.33765, Q=147.40263, s=46.323124)
accent1 100 = Cam16(J=84.6937, M=32.949524, C=41.735588, h=183.96811, Q=143.12491, s=47.980736)
accent1 200 = Cam16(J=71.88258, M=32.684914, C=41.40042, h=184.03824, Q=131.85649, s=49.787796)
accent1 300 = Cam16(J=59.90642, M=32.72586, C=41.452286, h=184.21898, Q=120.37225, s=52.141357)
accent1 400 = Cam16(J=48.92976, M=32.548862, C=41.22809, h=184.30557, Q=108.78682, s=54.69905)
accent1 500 = Cam16(J=37.488102, M=31.955761, C=40.476837, h=184.09908, Q=95.22181, s=57.93038)
accent1 600 = Cam16(J=29.8377, M=28.61576, C=36.24622, h=182.88657, Q=84.95175, s=58.03854)
accent1 700 = Cam16(J=23.111145, M=25.97864, C=32.905903, h=176.91646, Q=74.76535, s=58.946495)
accent1 800 = Cam16(J=15.859938, M=21.571575, C=27.323685, h=175.54826, Q=61.93561, s=59.016132)
accent1 900 = Cam16(J=8.521901, M=17.24959, C=21.849232, h=164.25931, Q=45.40022, s=61.639683)
accent1 1000 = Cam16(J=0.0, M=0.0, C=0.0, h=0.0, Q=0.0, s=0.0)
accent2 0 = Cam16(J=100.0, M=2.2650306, C=2.8690062, h=209.49272, Q=155.52122, s=12.068192)
accent2 10 = Cam16(J=98.095856, M=8.01378, C=10.150672, h=189.56914, Q=154.03343, s=22.80926)
accent2 50 = Cam16(J=92.25768, M=17.939587, C=22.723219, h=185.28188, Q=149.37949, s=34.654587)
accent2 100 = Cam16(J=85.37998, M=17.732761, C=22.461243, h=186.2888, Q=143.70363, s=35.128075)
accent2 200 = Cam16(J=72.70828, M=17.670988, C=22.382998, h=185.72102, Q=132.61165, s=36.503925)
accent2 300 = Cam16(J=60.857838, M=17.913385, C=22.690031, h=185.3025, Q=121.32435, s=38.425087)
accent2 400 = Cam16(J=49.597687, M=17.854502, C=22.615446, h=184.59422, Q=109.5268, s=40.375103)
accent2 500 = Cam16(J=38.17529, M=17.729525, C=22.457142, h=185.32672, Q=96.09058, s=42.95444)
accent2 600 = Cam16(J=29.956379, M=17.840889, C=22.598204, h=184.67693, Q=85.120544, s=45.781616)
accent2 700 = Cam16(J=21.621983, M=17.769882, C=22.508263, h=183.63995, Q=72.3165, s=49.57053)
accent2 800 = Cam16(J=14.382249, M=17.38806, C=22.024626, h=184.13791, Q=58.979767, s=54.296772)
accent2 900 = Cam16(J=8.47828, M=14.808798, C=18.757597, h=182.91037, Q=45.28387, s=57.185787)
accent2 1000 = Cam16(J=0.0, M=0.0, C=0.0, h=0.0, Q=0.0, s=0.0)
accent3 0 = Cam16(J=100.0, M=2.2650306, C=2.8690062, h=209.49272, Q=155.52122, s=12.068192)
accent3 10 = Cam16(J=98.7385, M=2.736311, C=3.4659545, h=285.01877, Q=154.53717, s=13.306573)
accent3 50 = Cam16(J=92.75059, M=10.755289, C=13.623211, h=311.92288, Q=149.778, s=26.797052)
accent3 100 = Cam16(J=86.643906, M=16.920734, C=21.432686, h=305.50168, Q=144.76337, s=34.188515)
