neutral1 0 = CieLch(L=100.0, C=0.011662039483869973, h=296.81292623674057)
neutral1 10 = CieLch(L=98.61813872854867, C=0.0115231143053877, h=296.81292623675336)
neutral1 50 = CieLch(L=94.79624582959184, C=0.011138880978725198, h=296.81292623667105)
neutral1 100 = CieLch(L=89.88368804941723, C=0.010644997851140243, h=296.81292623684845)
neutral1 200 = CieLch(L=79.88121630968037, C=0.009639401123862287, h=296.81292623664604)
neutral1 300 = CieLch(L=69.9821315768838, C=0.00864419839102774, h=296.8129262366935)
neutral1 400 = CieLch(L=59.788710239487784, C=0.007619404579719389, h=296.8129262367832)
neutral1 500 = CieLch(L=49.23898744619521, C=0.006558790064522804, h=296.81292623647585)
neutral1 600 = CieLch(L=39.90405327318043, C=0.005620304108452331, h=296.81292623646146)
neutral1 700 = CieLch(L=29.72468203170552, C=0.004596922821041311, h=296.8129262363642)
neutral1 800 = CieLch(L=19.86553351453218, C=0.0036057350685829406, h=296.8129262362821)
neutral1 900 = CieLch(L=9.766934231515162, C=0.00259047417574661, h=296.81292623665735)
neutral1 1000 = CieLch(L=0.0, C=0.0, h=0.0)
neutral2 0 = CieLch(L=100.0, C=0.011662039483869973, h=296.81292623674057)
neutral2 10 = CieLch(L=98.61813872854867, C=0.0115231143053877, h=296.81292623675336)
neutral2 50 = CieLch(L=94.79624582959184, C=0.011138880978725198, h=296.81292623667105)
neutral2 100 = CieLch(L=89.88368804941723, C=0.010644997851140243, h=296.81292623684845)
neutral2 200 = CieLch(L=79.88121630968037, C=0.009639401123862287, h=296.81292623664604)
neutral2 300 = CieLch(L=69.9821315768838, C=0.00864419839102774, h=296.8129262366935)
neutral2 400 = CieLch(L=59.788710239487784, C=0.007619404579719389, h=296.8129262367832)
neutral2 500 = CieLch(L=49.23898744619521, C=0.006558790064522804, h=296.81292623647585)
neutral2 600 = CieLch(L=39.90405327318043, C=0.005620304108452331, h=296.81292623646146)
neutral2 700 = CieLch(L=29.72468203170552, C=0.004596922821041311, h=296.8129262363642)
neutral2 800 = CieLch(L=19.86553351453218, C=0.0036057350685829406, h=296.8129262362821)
neutral2 900 = CieLch(L=9.766934231515162, C=0.00259047417574661, h=296.81292623665735)
neutral2 1000 = CieLch(L=0.0, C=0.0, h=0.0)
accent1 0 = CieLch(L=100.0, C=0.011662039483869973, h=296.81292623674057)
accent1 10 = CieLch(L=98.92639239405725, C=5.103272278085517, h=181.79144105881204)
accent1 50 = CieLch(L=93.88256591159525, C=32.132019988781245, h=185.2897032855167)
accent1 100 = CieLch(L=90.0972620754955, C=34.44401372367245, h=181.33432795120123)
accent1 200 = CieLch(L=80.0364987824634, C=34.109754712322925, h=181.4966550635773)
accent1 300 = CieLch(L=70.02432056686523, C=34.21615188188406, h=181.7895578181993)
accent1 400 = CieLch(L=60.15443443381933, C=34.137233837499984, h=181.9553975481888)
accent1 500 = CieLch(L=48.90490462239043, C=33.72435921342021, h=181.7802836931948)
accent1 600 = CieLch(L=40.49398449107255, C=29.737715406223504, h=180.43245650642712)
accent1 700 = CieLch(L=32.41676723186054, C=27.355545843924634, h=173.95216939678107)
accent1 800 = CieLch(L=22.538513271649677, C=22.165989746259964, h=172.49948550645846)
accent1 900 = CieLch(L=10.517191539480105, C=17.73595037404547, h=160.58655751573022)
accent1 1000 = CieLch(L=0.0, C=0.0, h=0.0)
accent2 0 = CieLch(L=100.0, C=0.011662039483869973, h=296.81292623674057)
accent2 10 = CieLch(L=98.857214146723, C=5.430952190612015, h=182.83786614657626)
accent2 50 = CieLch(L=95.03499407174338, C=16.07621593304221, h=181.63927220335574)
accent2 100 = CieLch(L=89.87748211710328, C=15.740163459722016, h=183.00400251217454)
accent2 200 = CieLch(L=79.97763302449171, C=15.728887494500295, h=182.48726621542195)
accent2 300 = CieLch(L=70.13347169745876, C=16.048104086956844, h=182.20888326837348)
accent2 400 = CieLch(L=60.07466779142692, C=16.07616913572721, h=181.54401520292126)
accent2 500 = CieLch(L=48.93169967391857, C=15.926084058822951, h=182.66303562810774)
accent2 600 = CieLch(L=40.11604956633487, C=16.19733230177886, h=182.06311798425784)
accent2 700 = CieLch(L=30.14979820325297, C=16.38726402480262, h=181.03153530307952)
accent2 800 = CieLch(L=20.17275441170294, C=16.245032605911387, h=181.76614539189308)
accent2 900 = CieLch(L=10.345837821115193, C=13.729716003314934, h=180.46482637086797)
accent2 1000 = CieLch(L=0.0, C=0.0, h=0.0)
accent3 0 = CieLch(L=100.0, C=0.011662039483869973, h=296.81292623674057)
accent3 10 = CieLch(L=99.01508039868104, C=2.4920352749059362, h=324.404629921617)
accent3 50 = CieLch(L=94.40009223446137, C=12.061731639882712, h=316.51386230559973)
accent3 100 = CieLch(L=89.72727141410502, C=19.718023516913377, h=308.75839203824387)
accent3 200 = CieLch(L=79.9117736455398, C=24.216530673868736, h=305.23326036138684)
accent3 300 = CieLch(L=69.92268977817672, C=24.265010785379697, h=304.8391110154771)
accent3 400 = CieLch(L=59.98531142062551, C=23.82460606358532, h=304.71114994822733)
accent3 500 = CieLch(L=48.963973479248224, C=24.100382420776985, h=304.38209292468423)
accent3 600 = CieLch(L=39.95035578285226, C=24.315969656848445, h=304.0597831959179)
accent3 700 = CieLch(L=30.051021303020562, C=23.52547497890143, h=304.30245454734984)
accent3 800 = CieLch(L=20.1256504532888, C=23.50262809695331, h=304.48834348830155)
accent3 900 = CieLch(L=9.924042023701947, C=23.757208437558997, h=304.1741008329151)
accent3 1000 = CieLch(L=0.0, C=0.0, h=0.0)
