neutral1 0 = Oklch(L=0.9999999934735462, C=3.727399553519285E-8, h=89.87556309590244)
neutral1 10 = Oklch(L=0.9880873963836093, C=3.682996534195955E-8, h=89.87556254780027)
neutral1 50 = Oklch(L=0.9551400440214246, C=3.560188591525941E-8, h=89.87556327194771)
neutral1 100 = Oklch(L=0.9127904082618294, C=3.4023345780435836E-8, h=89.87556270110856)
neutral1 200 = Oklch(L=0.8265622041716898, C=3.080927607285076E-8, h=89.87556255086416)
neutral1 300 = Oklch(L=0.7412252673769428, C=2.762842731390358E-8, h=89.87556256733544)
neutral1 400 = Oklch(L=0.653350946076347, C=2.435300043038782E-8, h=89.87556306962595)
neutral1 500 = Oklch(L=0.5624050605208273, C=2.0963083804643558E-8, h=89.87556216495983)
neutral1 600 = Oklch(L=0.48193149058901036, C=1.7963512299525764E-8, h=89.87556298760401)
neutral1 700 = Oklch(L=0.39417829080418526, C=1.4692599926948869E-8, h=89.87556318367439)
neutral1 800 = Oklch(L=0.3091856317280812, C=1.1524583877742428E-8, h=89.87556314108953)
neutral1 900 = Oklch(L=0.22212874192541768, C=8.279625777627656E-9, h=89.87556275870742)
neutral1 1000 = Oklch(L=0.0, C=0.0, h=0.0)
neutral2 0 = Oklch(L=0.9999999934735462, C=3.727399553519285E-8, h=89.87556309590244)
neutral2 10 = Oklch(L=0.9880873963836093, C=3.682996534195955E-8, h=89.87556254780027)
neutral2 50 = Oklch(L=0.9551400440214246, C=3.560188591525941E-8, h=89.87556327194771)
neutral2 100 = Oklch(L=0.9127904082618294, C=3.4023345780435836E-8, h=89.87556270110856)
neutral2 200 = Oklch(L=0.8265622041716898, C=3.080927607285076E-8, h=89.87556255086416)
neutral2 300 = Oklch(L=0.7412252673769428, C=2.762842731390358E-8, h=89.87556256733544)
neutral2 400 = Oklch(L=0.653350946076347, C=2.435300043038782E-8, h=89.87556306962595)
neutral2 500 = Oklch(L=0.5624050605208273, C=2.0963083804643558E-8, h=89.87556216495983)
neutral2 600 = Oklch(L=0.48193149058901036, C=1.7963512299525764E-8, h=89.87556298760401)
neutral2 700 = Oklch(L=0.39417829080418526, C=1.4692599926948869E-8, h=89.87556318367439)
neutral2 800 = Oklch(L=0.3091856317280812, C=1.1524583877742428E-8, h=89.87556314108953)
neutral2 900 = Oklch(L=0.22212874192541768, C=8.279625777627656E-9, h=89.87556275870742)
neutral2 1000 = Oklch(L=0.0, C=0.0, h=0.0)
accent1 0 = Oklch(L=0.9999999934735462, C=3.727399553519285E-8, h=89.87556309590244)
accent1 10 = Oklch(L=0.9888235062601253, C=0.01518206876345415, h=181.79620433723017)
accent1 50 = Oklch(L=0.9353935424560781, C=0.09545093389374189, h=185.07398139621776)
accent1 100 = Oklch(L=0.9019436475923241, C=0.10101303805109109, h=181.5235851894755)
accent1 200 = Oklch(L=0.8153645808531359, C=0.09992923938795396, h=181.67757863085848)
accent1 300 = Oklch(L=0.7290526151053021, C=0.10012040222614889, h=181.9536358948527)
accent1 400 = Oklch(L=0.644044225054148, C=0.09969074314713021, h=182.11642280513323)
accent1 500 = Oklch(L=0.5472890696872653, C=0.09805489782635422, h=181.97144311685796)
accent1 600 = Oklch(L=0.4762548158633523, C=0.08599260494514828, h=180.7278547430932)
accent1 700 = Oklch(L=0.4076835151113428, C=0.07711903419557611, h=174.62998595370485)
accent1 800 = Oklch(L=0.32441672720446946, C=0.062150930132630754, h=173.24129896197638)
accent1 900 = Oklch(L=0.2226906608724696, C=0.04884799672663542, h=161.9870448971976)
accent1 1000 = Oklch(L=0.0, C=0.0, h=0.0)
accent2 0 = Oklch(L=0.9999999934735462, C=3.727399553519285E-8, h=89.87556309590244)
accent2 10 = Oklch(L=0.9881050075388805, C=0.016186310806849846, h=182.7326098049675)
accent2 50 = Oklch(L=0.9511935501124062, C=0.047585748388252275, h=181.7507707003047)
accent2 100 = Oklch(L=0.9068599023102107, C=0.04672794923473508, h=182.97307761750537)
accent2 200 = Oklch(L=0.8215265436991435, C=0.046610167228338495, h=182.51797353377492)
accent2 300 = Oklch(L=0.7365538594740472, C=0.04747920720374197, h=182.2768971146875)
accent2 400 = Oklch(L=0.649841621439412, C=0.047430718612195, h=181.6868425493386)
accent2 500 = Oklch(L=0.5538506869601275, C=0.04705317950856026, h=182.70417075522693)
accent2 600 = Oklch(L=0.4777734195388011, C=0.04768420200102968, h=182.17588246352656)
accent2 700 = Oklch(L=0.39182268496888717, C=0.04794017761094974, h=181.2536442281031)
accent2 800 = Oklch(L=0.30590643708025755, C=0.04740688648711556, h=181.9434303288615)
accent2 900 = Oklch(L=0.22210140737459494, C=0.040095961053782506, h=180.7536532128004)
accent2 1000 = Oklch(L=0.0, C=0.0, h=0.0)
accent3 0 = Oklch(L=0.9999999934735462, C=3.727399553519285E-8, h=89.87556309590244)
accent3 10 = Oklch(L=0.9922657490611404, C=0.006725315390859499, h=325.62738137631163)
accent3 50 = Oklch(L=0.9550229498505935, C=0.0320363549513527, h=316.42428893413364)
accent3 100 = Oklch(L=0.9161147617258721, C=0.051562197778657, h=306.6613788996184)
accent3 200 = Oklch(L=0.8321362786927504, C=0.06299499854161902, h=301.6327467622321)
accent3 300 = Oklch(L=0.7459979010096479, C=0.06306828951764214, h=300.82397829371206)
accent3 400 = Oklch(L=0.6602360556741864, C=0.061880617937586924, h=300.3380545563321)
accent3 500 = Oklch(L=0.5652728501585591, C=0.0625001730786139, h=299.2959195928744)
accent3 600 = Oklch(L=0.4876075684099891, C=0.06293704281335286, h=298.16092695136734)
accent3 700 = Oklch(L=0.4021753820205968, C=0.0607468522449781, h=297.65397574369473)
accent3 800 = Oklch(L=0.3167145848643765, C=0.06035448844962684, h=296.3306700258889)
accent3 900 = Oklch(L=0.22892844937123644, C=0.0601962478895673, h=292.5126844420048)
accent3 1000 = Oklch(L=0.0, C=0.0, h=0.0)
