neutral1 0 = Srlch2(L=99.99971911009246, C=0.0037769306395992776, h=187.52523775629302)
neutral1 10 = Srlch2(L=98.61786194717564, C=0.003719291511271404, h=187.5302406090894)
neutral1 50 = Srlch2(L=94.79598041142819, C=0.0035598758283401986, h=187.54492094198758)
neutral1 100 = Srlch2(L=89.88343723721563, C=0.003354967601018538, h=187.56583975206328)
neutral1 200 = Srlch2(L=79.88099523671632, C=0.002937755098527968, h=187.61745237421533)
neutral1 300 = Srlch2(L=69.98193993576817, C=0.0025248580840879814, h=187.68532506061706)
neutral1 400 = Srlch2(L=59.78854890533891, C=0.0020996892861706476, h=187.7831119520583)
neutral1 500 = Srlch2(L=49.23885747836461, C=0.0016596689107999216, h=187.9370753680421)
neutral1 600 = Srlch2(L=39.9039510598721, C=0.001270332901341042, h=188.16225330217392)
neutral1 700 = Srlch2(L=29.724610083590353, C=8.458214845938707E-4, h=188.64407046988288)
neutral1 800 = Srlch2(L=19.86549087952754, C=4.3483096369706506E-4, h=190.00750308961844)
neutral1 900 = Srlch2(L=9.766921621553388, C=2.4977470881908486E-5, h=245.6283876669677)
neutral1 1000 = Srlch2(L=0.0, C=0.0, h=0.0)
neutral2 0 = Srlch2(L=99.99971911009246, C=0.0037769306395992776, h=187.52523775629302)
neutral2 10 = Srlch2(L=98.61786194717564, C=0.003719291511271404, h=187.5302406090894)
neutral2 50 = Srlch2(L=94.79598041142819, C=0.0035598758283401986, h=187.54492094198758)
neutral2 100 = Srlch2(L=89.88343723721563, C=0.003354967601018538, h=187.56583975206328)
neutral2 200 = Srlch2(L=79.88099523671632, C=0.002937755098527968, h=187.61745237421533)
neutral2 300 = Srlch2(L=69.98193993576817, C=0.0025248580840879814, h=187.68532506061706)
neutral2 400 = Srlch2(L=59.78854890533891, C=0.0020996892861706476, h=187.7831119520583)
neutral2 500 = Srlch2(L=49.23885747836461, C=0.0016596689107999216, h=187.9370753680421)
neutral2 600 = Srlch2(L=39.9039510598721, C=0.001270332901341042, h=188.16225330217392)
neutral2 700 = Srlch2(L=29.724610083590353, C=8.458214845938707E-4, h=188.64407046988288)
neutral2 800 = Srlch2(L=19.86549087952754, C=4.3483096369706506E-4, h=190.00750308961844)
neutral2 900 = Srlch2(L=9.766921621553388, C=2.4977470881908486E-5, h=245.6283876669677)
neutral2 1000 = Srlch2(L=0.0, C=0.0, h=0.0)
accent1 0 = Srlch2(L=99.99971911009246, C=0.0037769306395992776, h=187.52523775629302)
accent1 10 = Srlch2(L=98.8916647664745, C=4.861118823945989, h=182.48551880642705)
accent1 50 = Srlch2(L=93.62952622184926, C=29.36823581507806, h=186.65189682105077)
accent1 100 = Srlch2(L=89.841067619744, C=31.061188168808922, h=182.29661412915698)
accent1 200 = Srlch2(L=79.77982586149619, C=30.58752815732941, h=182.5019207168884)
accent1 300 = Srlch2(L=69.76246779201986, C=30.447832915414924, h=182.86690839735948)
accent1 400 = Srlch2(L=59.889009572561726, C=30.092106614345532, h=183.09785088318287)
accent1 500 = Srlch2(L=48.63923787612869, C=29.307592862520544, h=182.95349824205258)
accent1 600 = Srlch2(L=40.26549037378005, C=25.73967734232905, h=181.38298743784333)
accent1 700 = Srlch2(L=32.23264164758908, C=23.35963185580408, h=173.6918295791577)
accent1 800 = Srlch2(L=22.39413639823687, C=18.897909311469927, h=171.94822992817342)
accent1 900 = Srlch2(L=10.430795078641308, C=15.522958271396357, h=158.2429597947772)
accent1 1000 = Srlch2(L=0.0, C=0.0, h=0.0)
accent2 0 = Srlch2(L=99.99971911009246, C=0.0037769306395992776, h=187.52523775629302)
accent2 10 = Srlch2(L=98.81961645404026, C=5.17575202437428, h=183.60443056554695)
accent2 50 = Srlch2(L=94.92176050241422, C=15.010575146716418, h=182.48326063198982)
accent2 100 = Srlch2(L=89.76395504645511, C=14.712473767408564, h=183.96299284582736)
accent2 200 = Srlch2(L=79.86449179469624, C=14.649416688461843, h=183.42232638781388)
accent2 300 = Srlch2(L=70.01762338690448, C=14.877762503797047, h=183.14391237420352)
accent2 400 = Srlch2(L=59.95890705264077, C=14.819398252721157, h=182.44045229791823)
accent2 500 = Srlch2(L=48.813467177343234, C=14.611326004668689, h=183.70224571562701)
accent2 600 = Srlch2(L=39.99535415063666, C=14.72438365105668, h=183.0811516816292)
accent2 700 = Srlch2(L=30.027566087358192, C=14.683502311925814, h=181.97645415003075)
accent2 800 = Srlch2(L=20.046898881166715, C=14.31179977721004, h=182.88120552542455)
accent2 900 = Srlch2(L=10.239287746870843, C=12.00072882953395, h=181.41535471597373)
accent2 1000 = Srlch2(L=0.0, C=0.0, h=0.0)
accent3 0 = Srlch2(L=99.99971911009246, C=0.0037769306395992776, h=187.52523775629302)
accent3 10 = Srlch2(L=99.01887094378827, C=2.3630767238811536, h=322.5940216645984)
accent3 50 = Srlch2(L=94.40321626961897, C=11.524584255758006, h=313.9559808389555)
accent3 100 = Srlch2(L=89.70539554503252, C=18.836157053204428, h=305.0261422243023)
accent3 200 = Srlch2(L=79.86752599632437, C=23.073293160993618, h=300.531568676239)
accent3 300 = Srlch2(L=69.87520628240719, C=23.072277688499202, h=299.82658520971387)
accent3 400 = Srlch2(L=59.93659598748287, C=22.60016389542627, h=299.4122928610893)
accent3 500 = Srlch2(L=48.910273465439516, C=22.761750406152256, h=298.5081039610584)
accent3 600 = Srlch2(L=39.891238868499954, C=22.851073946970605, h=297.51337143468726)
accent3 700 = Srlch2(L=29.99079565015194, C=21.967519554981592, h=297.0921489117571)
accent3 800 = Srlch2(L=20.05854597585362, C=21.691897538322603, h=295.9375210294014)
accent3 900 = Srlch2(L=9.837796189519082, C=21.448087286076458, h=292.44749433798927)
accent3 1000 = Srlch2(L=0.0, C=0.0, h=0.0)
