neutral1 0 = Cam16Ucs(J=100.0, C=2.2084816, h=209.4927196452843)
neutral1 10 = Cam16Ucs(J=97.96545, C=4.924461, h=220.68020127888246)
neutral1 50 = Cam16Ucs(J=92.62457, C=6.2679644, h=249.2973678312513)
neutral1 100 = Cam16Ucs(J=86.34962, C=6.2037277, h=243.69803693448233)
neutral1 200 = Cam16Ucs(J=73.49683, C=6.2349167, h=244.83829379627764)
neutral1 300 = Cam16Ucs(J=61.26392, C=6.3896937, h=252.49428118865262)
neutral1 400 = Cam16Ucs(J=49.785877, C=6.099528, h=250.77935580077377)
neutral1 500 = Cam16Ucs(J=39.010433, C=5.9538016, h=256.26203061978316)
neutral1 600 = Cam16Ucs(J=30.260628, C=6.065333, h=257.765328369438)
neutral1 700 = Cam16Ucs(J=21.691898, C=5.7663593, h=256.1544147963317)
neutral1 800 = Cam16Ucs(J=14.513828, C=5.945145, h=257.928541860124)
neutral1 900 = Cam16Ucs(J=8.358763, C=5.6615877, h=256.05715357435605)
neutral1 1000 = Cam16Ucs(J=0.0, C=0.0, h=0.0)
neutral2 0 = Cam16Ucs(J=100.0, C=2.2084816, h=209.4927196452843)
neutral2 10 = Cam16Ucs(J=97.88705, C=4.214121, h=235.03943139798656)
neutral2 50 = Cam16Ucs(J=92.68598, C=4.495955, h=241.0502173193398)
neutral2 100 = Cam16Ucs(J=86.21793, C=4.2060122, h=246.30653950554222)
neutral2 200 = Cam16Ucs(J=73.3679, C=4.175856, h=248.2183071708498)
neutral2 300 = Cam16Ucs(J=61.384792, C=3.773436, h=244.4979331232816)
neutral2 400 = Cam16Ucs(J=49.937923, C=3.7417564, h=246.6769805568703)
neutral2 500 = Cam16Ucs(J=39.056114, C=3.725843, h=249.10079563475705)
neutral2 600 = Cam16Ucs(J=30.300926, C=3.730756, h=251.38997620077774)
neutral2 700 = Cam16Ucs(J=21.758802, C=3.7637484, h=254.03129089717137)
neutral2 800 = Cam16Ucs(J=14.540055, C=3.2912316, h=249.22455882756526)
neutral2 900 = Cam16Ucs(J=8.401453, C=3.3587127, h=252.29877181686885)
neutral2 1000 = Cam16Ucs(J=0.0, C=0.0, h=0.0)
accent1 0 = Cam16Ucs(J=100.0, C=2.2084816, h=209.4927196452843)
accent1 10 = Cam16Ucs(J=93.666534, C=16.123508, h=200.56901034772872)
accent1 50 = Cam16Ucs(J=88.99802, C=16.905039, h=214.8689399773709)
accent1 100 = Cam16Ucs(J=83.265434, C=18.512966, h=231.18324371858242)
accent1 200 = Cam16Ucs(J=71.74765, C=23.394173, h=253.07156904513175)
accent1 300 = Cam16Ucs(J=61.189545, C=26.78086, h=261.5964630783653)
accent1 400 = Cam16Ucs(J=49.684563, C=26.797853, h=262.8908117714771)
accent1 500 = Cam16Ucs(J=38.706093, C=26.453468, h=263.81646684165463)
accent1 600 = Cam16Ucs(J=29.969969, C=26.39, h=265.16127578161104)
accent1 700 = Cam16Ucs(J=21.510967, C=25.834623, h=266.6688356899001)
accent1 800 = Cam16Ucs(J=14.350401, C=25.159883, h=269.37154134529663)
accent1 900 = Cam16Ucs(J=8.328217, C=23.940495, h=277.0816766920871)
accent1 1000 = Cam16Ucs(J=0.0, C=0.0, h=0.0)
accent2 0 = Cam16Ucs(J=100.0, C=2.2084816, h=209.4927196452843)
accent2 10 = Cam16Ucs(J=96.8046, C=8.021107, h=209.69880017519603)
accent2 50 = Cam16Ucs(J=92.063446, C=10.067384, h=238.8478349788477)
accent2 100 = Cam16Ucs(J=86.094124, C=13.43844, h=257.11512198207413)
accent2 200 = Cam16Ucs(J=73.221565, C=13.399321, h=256.799785281531)
accent2 300 = Cam16Ucs(J=61.359955, C=13.22183, h=257.7893443998932)
accent2 400 = Cam16Ucs(J=49.89663, C=13.205587, h=257.50034595810286)
accent2 500 = Cam16Ucs(J=39.008255, C=13.214353, h=257.2545121353983)
accent2 600 = Cam16Ucs(J=30.330908, C=13.046984, h=258.3996892016902)
accent2 700 = Cam16Ucs(J=21.797594, C=13.064985, h=258.29901171991844)
accent2 800 = Cam16Ucs(J=14.447302, C=12.787428, h=261.52988293311927)
accent2 900 = Cam16Ucs(J=8.428847, C=12.593608, h=263.79857164762115)
accent2 1000 = Cam16Ucs(J=0.0, C=0.0, h=0.0)
accent3 0 = Cam16Ucs(J=100.0, C=2.2084816, h=209.4927196452843)
accent3 10 = Cam16Ucs(J=95.02837, C=8.062647, h=319.93253457410145)
accent3 50 = Cam16Ucs(J=91.72988, C=12.428121, h=324.4170197885993)
accent3 100 = Cam16Ucs(J=86.20172, C=15.682154, h=320.0864346877361)
accent3 200 = Cam16Ucs(J=73.21831, C=15.754957, h=320.34726616092433)
accent3 300 = Cam16Ucs(J=61.156757, C=15.8430395, h=320.61279683757476)
accent3 400 = Cam16Ucs(J=49.978863, C=15.6967945, h=321.6646180376018)
accent3 500 = Cam16Ucs(J=39.00348, C=15.863984, h=322.0409880040219)
accent3 600 = Cam16Ucs(J=30.213478, C=16.26313, h=321.5175197161626)
accent3 700 = Cam16Ucs(J=21.597034, C=16.216537, h=322.8170613932311)
accent3 800 = Cam16Ucs(J=14.423646, C=16.422655, h=323.32713972788895)
accent3 900 = Cam16Ucs(J=8.354339, C=16.28526, h=325.11211535031)
accent3 1000 = Cam16Ucs(J=0.0, C=0.0, h=0.0)
