neutral1 0 = Cam16(J=100.0, M=2.2650306, C=2.8690062, h=209.49272, Q=155.52122, s=12.068192)
neutral1 10 = Cam16(J=97.96545, M=5.2115593, C=6.6012335, h=220.68019, Q=153.93103, s=18.400126)
neutral1 50 = Cam16(J=92.62457, M=6.7379627, C=8.534656, h=249.29736, Q=149.67622, s=21.217192)
neutral1 100 = Cam16(J=86.34962, M=6.66391, C=8.440857, h=243.69801, Q=144.51732, s=21.473589)
neutral1 200 = Cam16(J=73.49683, M=6.69985, C=8.486381, h=244.83829, Q=133.32883, s=22.416643)
neutral1 300 = Cam16(J=61.26392, M=6.8785872, C=8.712778, h=252.49428, Q=121.72844, s=23.771338)
neutral1 400 = Cam16(J=49.785877, M=6.5440207, C=8.288999, h=250.77936, Q=109.73439, s=24.420298)
neutral1 500 = Cam16(J=39.010433, M=6.37683, C=8.077227, h=256.26202, Q=97.13596, s=25.621964)
neutral1 600 = Cam16(J=30.260628, M=6.504741, C=8.239245, h=257.76532, Q=85.551704, s=27.574057)
neutral1 700 = Cam16(J=21.691898, M=6.1625924, C=7.805862, h=256.1544, Q=72.433334, s=29.168394)
neutral1 800 = Cam16(J=14.513828, M=6.366914, C=8.064666, h=257.92856, Q=59.248955, s=32.781147)
neutral1 900 = Cam16(J=8.358763, M=6.0432415, C=7.6546855, h=256.05716, Q=44.96356, s=36.661026)
neutral1 1000 = Cam16(J=0.0, M=0.0, C=0.0, h=0.0, Q=0.0, s=0.0)
neutral2 0 = Cam16(J=100.0, M=2.2650306, C=2.8690062, h=209.49272, Q=155.52122, s=12.068192)
neutral2 10 = Cam16(J=97.88705, M=4.423212, C=5.6026716, h=235.03943, Q=153.86942, s=16.954803)
neutral2 50 = Cam16(J=92.68598, M=4.734468, C=5.9969244, h=241.0502, Q=149.72583, s=17.78227)
neutral2 100 = Cam16(J=86.21793, M=4.414289, C=5.591369, h=246.30652, Q=144.40709, s=17.483812)
neutral2 200 = Cam16(J=73.3679, M=4.3811107, C=5.5493436, h=248.2183, Q=133.2118, s=18.135134)
neutral2 300 = Cam16(J=61.384792, M=3.9405177, C=4.991266, h=244.49792, Q=121.84846, s=17.983185)
neutral2 400 = Cam16(J=49.937923, M=3.9060032, C=4.947548, h=246.67697, Q=109.901825, s=18.852278)
neutral2 500 = Cam16(J=39.056114, M=3.8886747, C=4.9255986, h=249.1008, Q=97.192825, s=20.002474)
neutral2 600 = Cam16(J=30.300926, M=3.8940256, C=4.9323764, h=251.38997, Q=85.60865, s=21.327532)
neutral2 700 = Cam16(J=21.758802, M=3.9299567, C=4.9778886, h=254.0313, Q=72.54495, s=23.275032)
neutral2 800 = Cam16(J=14.540055, M=3.4178638, C=4.329245, h=249.22455, Q=59.302464, s=24.007174)
neutral2 900 = Cam16(J=8.401453, M=3.4906616, C=4.4214544, h=252.29877, Q=45.07823, s=27.82726)
neutral2 1000 = Cam16(J=0.0, M=0.0, C=0.0, h=0.0, Q=0.0, s=0.0)
accent1 0 = Cam16(J=100.0, M=2.2650306, C=2.8690062, h=209.49272, Q=155.52122, s=12.068192)
accent1 10 = Cam16(J=93.666534, M=19.486284, C=24.682346, h=200.569, Q=150.51575, s=35.981026)
accent1 50 = Cam16(J=88.99802, M=20.625158, C=26.124903, h=214.86894, Q=146.7168, s=37.493736)
accent1 100 = Cam16(J=83.265434, M=23.033083, C=29.174906, h=231.18323, Q=141.91295, s=40.28701)
accent1 200 = Cam16(J=71.74765, M=30.907743, C=39.149364, h=253.07156, Q=131.73267, s=48.43808)
accent1 300 = Cam16(J=61.189545, M=36.909767, C=46.75184, h=261.59647, Q=121.65453, s=55.081593)
accent1 400 = Cam16(J=49.684563, M=36.941063, C=46.79148, h=262.8908, Q=109.622696, s=58.050304)
accent1 500 = Cam16(J=38.706093, M=36.309097, C=45.991, h=263.81647, Q=96.756325, s=61.25874)
accent1 600 = Cam16(J=29.969969, M=36.19318, C=45.844173, h=265.16125, Q=85.13984, s=65.199905)
accent1 700 = Cam16(J=21.510967, M=35.18589, C=44.568287, h=266.66882, Q=72.130615, s=69.843254)
accent1 800 = Cam16(J=14.350401, M=33.979156, C=43.039776, h=269.37152, Q=58.914433, s=75.94434)
accent1 900 = Cam16(J=8.328217, M=31.84488, C=40.336388, h=277.08167, Q=44.881325, s=84.23391)
accent1 1000 = Cam16(J=0.0, M=0.0, C=0.0, h=0.0, Q=0.0, s=0.0)
accent2 0 = Cam16(J=100.0, M=2.2650306, C=2.8690062, h=209.49272, Q=155.52122, s=12.068192)
accent2 10 = Cam16(J=96.8046, M=8.801396, C=11.148309, h=209.69879, Q=153.0163, s=23.983189)
accent2 50 = Cam16(J=92.063446, M=11.316516, C=14.33409, h=238.84784, Q=149.22215, s=27.538464)
accent2 100 = Cam16(J=86.094124, M=15.724596, C=19.917595, h=257.1151, Q=144.30336, s=33.010456)
accent2 200 = Cam16(J=73.221565, M=15.671471, C=19.850304, h=256.79977, Q=133.07889, s=34.316288)
accent2 300 = Cam16(J=61.359955, M=15.43105, C=19.545774, h=257.78934, Q=121.823814, s=35.5903)
accent2 400 = Cam16(J=49.89663, M=15.4091, C=19.517971, h=257.50034, Q=109.85638, s=37.452084)
accent2 500 = Cam16(J=39.008255, M=15.420947, C=19.532978, h=257.25452, Q=97.13326, s=39.84479)
accent2 600 = Cam16(J=30.330908, M=15.195157, C=19.24698, h=258.3997, Q=85.65099, s=42.11981)
accent2 700 = Cam16(J=21.797594, M=15.219401, C=19.277689, h=258.299, Q=72.60959, s=45.78274)
accent2 800 = Cam16(J=14.447302, M=14.846712, C=18.805622, h=261.52988, Q=59.113007, s=50.115673)
accent2 900 = Cam16(J=8.428847, M=14.587853, C=18.477737, h=263.79855, Q=45.151665, s=56.84062)
accent2 1000 = Cam16(J=0.0, M=0.0, C=0.0, h=0.0, Q=0.0, s=0.0)
accent3 0 = Cam16(J=100.0, M=2.2650306, C=2.8690062, h=209.49272, Q=155.52122, s=12.068192)
accent3 10 = Cam16(J=95.02837, M=8.851295, C=11.2115135, h=319.93253, Q=151.60597, s=24.16269)
accent3 50 = Cam16(J=91.72988, M=14.3677435, C=18.198935, h=324.41702, Q=148.95157, s=31.057877)
accent3 100 = Cam16(J=86.20172, M=18.852037, C=23.878977, h=320.08643, Q=144.3935, s=36.13311)
accent3 200 = Cam16(J=73.21831, M=18.956219, C=24.010939, h=320.34726, Q=133.07594, s=37.742104)
accent3 300 = Cam16(J=61.156757, M=19.082499, C=24.17089, h=320.6128, Q=121.62194, s=39.610622)
accent3 400 = Cam16(J=49.978863, M=18.872976, C=23.905499, h=321.6646, Q=109.94687, s=41.43132)
accent3 500 = Cam16(J=39.00348, M=19.112566, C=24.208975, h=322.041, Q=97.127304, s=44.359722)
accent3 600 = Cam16(J=30.213478, M=19.68826, C=24.938179, h=321.51752, Q=85.48502, s=47.99087)
accent3 700 = Cam16(J=21.597034, M=19.620787, C=24.852715, h=322.81705, Q=72.27478, s=52.103252)
accent3 800 = Cam16(J=14.423646, M=19.919813, C=25.231476, h=323.32715, Q=59.064594, s=58.073635)
accent3 900 = Cam16(J=8.354339, M=19.720333, C=24.978806, h=325.1121, Q=44.951664, s=66.2345)
accent3 1000 = Cam16(J=0.0, M=0.0, C=0.0, h=0.0, Q=0.0, s=0.0)
