neutral1 0 = CieLch(L=100.0, C=0.011662039483869973, h=296.81292623674057)
neutral1 10 = CieLch(L=98.60428043869277, C=2.5626033202153833, h=236.21946371492032)
neutral1 50 = CieLch(L=94.66265351021028, C=4.916141027564968, h=269.9621019209221)
neutral1 100 = CieLch(L=90.00237390502421, C=4.626562469498936, h=263.59133994550365)
neutral1 200 = CieLch(L=80.00452046592896, C=4.737855455782414, h=263.68695383591614)
neutral1 300 = CieLch(L=69.84402362009523, C=5.22868780237983, h=270.2200432634072)
neutral1 400 = CieLch(L=59.61899337662015, C=4.8679492693522, h=267.9507064847038)
neutral1 500 = CieLch(L=49.14731626628911, C=4.919236420731649, h=272.3576865656677)
neutral1 600 = CieLch(L=39.81256015310823, C=5.106774011863694, h=272.6102751455919)
neutral1 700 = CieLch(L=29.599375022660645, C=4.759045498635878, h=270.40357936005375)
neutral1 800 = CieLch(L=19.741860385206508, C=5.041107435493855, h=271.03233091715845)
neutral1 900 = CieLch(L=9.607813932028382, C=4.762799313614715, h=268.80947082507817)
neutral1 1000 = CieLch(L=0.0, C=0.0, h=0.0)
neutral2 0 = CieLch(L=100.0, C=0.011662039483869973, h=296.81292623674057)
neutral2 10 = CieLch(L=98.50007227182373, C=2.2816008366028315, h=263.2511563966217)
neutral2 50 = CieLch(L=94.70316073447425, C=2.7665700594853, h=268.177522064945)
neutral2 100 = CieLch(L=89.86376468690986, C=2.6896350296407174, h=275.2004133237547)
neutral2 200 = CieLch(L=79.86116334146689, C=2.755668864889111, h=275.23931960318276)
neutral2 300 = CieLch(L=69.93422001212338, C=2.3073213455972947, h=271.6398224524114)
neutral2 400 = CieLch(L=59.73975756048756, C=2.3794585096228587, h=271.69874173304237)
neutral2 500 = CieLch(L=49.18889111035817, C=2.4681559038420984, h=271.7876517068404)
neutral2 600 = CieLch(L=39.85292592605436, C=2.5629987828483367, h=271.9040117847384)
neutral2 700 = CieLch(L=29.672532170331827, C=2.691786809947829, h=272.10062831448886)
neutral2 800 = CieLch(L=19.77665089266923, C=2.222993087441559, h=266.5516420953445)
neutral2 900 = CieLch(L=9.674658195185799, C=2.4056311845387315, h=267.1033006506991)
neutral2 1000 = CieLch(L=0.0, C=0.0, h=0.0)
accent1 0 = CieLch(L=100.0, C=0.011662039483869973, h=296.81292623674057)
accent1 10 = CieLch(L=96.06602663135754, C=16.519681808051327, h=201.99039795186235)
accent1 50 = CieLch(L=92.5442766663517, C=17.373958662523705, h=221.35285801462103)
accent1 100 = CieLch(L=88.1082357947823, C=20.589081492096216, h=242.1358275152985)
accent1 200 = CieLch(L=78.83701250941715, C=32.525044916568824, h=266.73175379074837)
accent1 300 = CieLch(L=69.88095049859251, C=42.41867479670831, h=276.1075148630761)
accent1 400 = CieLch(L=59.58134007311982, C=42.89312322477661, h=278.05784630447124)
accent1 500 = CieLch(L=48.877909642814885, C=42.49701587534679, h=279.87353894959716)
accent1 600 = CieLch(L=39.48098343987765, C=43.2458920773994, h=282.4566755641249)
accent1 700 = CieLch(L=29.299034195522317, C=43.21187527625566, h=285.6578824697491)
accent1 800 = CieLch(L=19.322158093446866, C=44.17829634742903, h=290.67508419539206)
accent1 900 = CieLch(L=9.07524773690825, C=47.00286521050204, h=299.68156321751746)
accent1 1000 = CieLch(L=0.0, C=0.0, h=0.0)
accent2 0 = CieLch(L=100.0, C=0.011662039483869973, h=296.81292623674057)
accent2 10 = CieLch(L=97.9027999063859, C=5.667214002515982, h=214.88521361696823)
accent2 50 = CieLch(L=94.37138562201892, C=8.91344877124254, h=253.30254828322296)
accent2 100 = CieLch(L=89.8327819112961, C=14.88360649255392, h=270.3331040786491)
accent2 200 = CieLch(L=79.81281068361383, C=14.73990732075108, h=269.8314689700522)
accent2 300 = CieLch(L=69.96829488187996, C=14.498309210613352, h=270.5917434223871)
accent2 400 = CieLch(L=59.76313084382795, C=14.402661108264692, h=270.1883543732172)
accent2 500 = CieLch(L=49.20801638336539, C=14.358075609775124, h=269.91094938897345)
accent2 600 = CieLch(L=39.9454097677412, C=14.180143256503918, h=271.03351616303553)
accent2 700 = CieLch(L=29.78540957945407, C=14.21854564040219, h=271.26216468518305)
accent2 800 = CieLch(L=19.664778333019363, C=14.160377419129516, h=274.88510264268524)
accent2 900 = CieLch(L=9.729832606762962, C=14.390466308285337, h=278.59652653634254)
accent2 1000 = CieLch(L=0.0, C=0.0, h=0.0)
accent3 0 = CieLch(L=100.0, C=0.011662039483869973, h=296.81292623674057)
accent3 10 = CieLch(L=96.08505362916536, C=9.97622675715007, h=324.75750078068427)
accent3 50 = CieLch(L=93.43608096979541, C=16.876857232016985, h=325.0090457197465)
accent3 100 = CieLch(L=89.1742069431379, C=22.61828535703951, h=319.95329633088477)
accent3 200 = CieLch(L=79.06686638262853, C=22.529583260164475, h=319.867800586719)
accent3 300 = CieLch(L=69.06000365770944, C=22.473328232221718, h=319.7869151009804)
accent3 400 = CieLch(L=59.105667880043995, C=21.969860676334108, h=320.4074919636555)
accent3 500 = CieLch(L=48.4593711112973, C=22.054652946954782, h=320.38102393160875)
accent3 600 = CieLch(L=39.06825969877703, C=22.652939895261866, h=319.63606112166457)
accent3 700 = CieLch(L=28.775187106500177, C=22.369516479855257, h=320.4130265128257)
accent3 800 = CieLch(L=18.887780193975274, C=22.69889204415518, h=320.5365368799071)
accent3 900 = CieLch(L=8.855467328936523, C=22.479301457423023, h=321.63564911427494)
accent3 1000 = CieLch(L=0.0, C=0.0, h=0.0)
