neutral1 0 = Oklch(L=0.9999999934735462, C=3.727399553519285E-8, h=89.87556309590244)
neutral1 10 = Oklch(L=0.9874149313470324, C=0.007523995295623928, h=228.85008556820418)
neutral1 50 = Oklch(L=0.9539543126011939, C=0.013227676503038193, h=262.3789625335734)
neutral1 100 = Oklch(L=0.913586925917407, C=0.012671317439337594, h=255.50908329538188)
neutral1 200 = Oklch(L=0.8273957120634984, C=0.01299240939049438, h=255.51696976373404)
neutral1 300 = Oklch(L=0.7400066161366248, C=0.014111097478561454, h=262.36779927356844)
neutral1 400 = Oklch(L=0.6517881879597792, C=0.01323242448229852, h=259.82476708776085)
neutral1 500 = Oklch(L=0.561657553227199, C=0.01323733731246392, h=264.4617325260969)
neutral1 600 = Oklch(L=0.48119481802567826, C=0.013773831519372993, h=264.4375078495053)
neutral1 700 = Oklch(L=0.39307554952289, C=0.012951538153393715, h=261.7459788916209)
neutral1 800 = Oklch(L=0.30811391235829205, C=0.013789316127460758, h=261.71115464656356)
neutral1 900 = Oklch(L=0.22067610659098488, C=0.013245410080240851, h=258.3699716439792)
neutral1 1000 = Oklch(L=0.0, C=0.0, h=0.0)
neutral2 0 = Oklch(L=0.9999999934735462, C=3.727399553519285E-8, h=89.87556309590244)
neutral2 10 = Oklch(L=0.9869527785280299, C=0.006207378019530708, h=255.47419242202847)
neutral2 50 = Oklch(L=0.954285783064922, C=0.007439382651520411, h=260.73153755097115)
neutral2 100 = Oklch(L=0.9126930655000726, C=0.007109686601031805, h=268.543811761273)
neutral2 200 = Oklch(L=0.8264664041282148, C=0.00729050678597401, h=268.53637553486067)
neutral2 300 = Oklch(L=0.7408218610127927, C=0.006153045549612979, h=264.5242573043917)
neutral2 400 = Oklch(L=0.6529398683921408, C=0.006352806493467854, h=264.5191490829692)
neutral2 500 = Oklch(L=0.5619860014694833, C=0.006599044994114641, h=264.5116612757687)
neutral2 600 = Oklch(L=0.481505941173443, C=0.00686339338723218, h=264.5018906035567)
neutral2 700 = Oklch(L=0.39374795502669213, C=0.0072246486575693394, h=264.484980013617)
neutral2 800 = Oklch(L=0.3083533404247339, C=0.006064238580683922, h=258.3536543726662)
neutral2 900 = Oklch(L=0.22126932995668375, C=0.006598910824090832, h=258.3651110954874)
neutral2 1000 = Oklch(L=0.0, C=0.0, h=0.0)
accent1 0 = Oklch(L=0.9999999934735462, C=3.727399553519285E-8, h=89.87556309590244)
accent1 10 = Oklch(L=0.9602780300388867, C=0.05073744903361111, h=199.36595839150044)
accent1 50 = Oklch(L=0.930685616145653, C=0.05393008953885103, h=215.36491662128822)
accent1 100 = Oklch(L=0.8936193059968244, C=0.06274456925614098, h=232.47310727429047)
accent1 200 = Oklch(L=0.8164004577390468, C=0.09437324456253307, h=252.75289573367223)
accent1 300 = Oklch(L=0.7414654042205867, C=0.12047036926156457, h=259.45722697956876)
accent1 400 = Oklch(L=0.653211645620181, C=0.12173109266103635, h=259.94042771360466)
accent1 500 = Oklch(L=0.5613939544223987, C=0.12065035652045505, h=259.9374140777756)
accent1 600 = Oklch(L=0.481121711394819, C=0.12241444604059437, h=260.0281264870399)
accent1 700 = Oklch(L=0.3942233837142657, C=0.12149376819751867, h=259.8425591261149)
accent1 800 = Oklch(L=0.30981680598018785, C=0.12150373073485607, h=259.8886258862627)
accent1 900 = Oklch(L=0.22538453791744748, C=0.11930942960926595, h=263.4415852753949)
accent1 1000 = Oklch(L=0.0, C=0.0, h=0.0)
accent2 0 = Oklch(L=0.9999999934735462, C=3.727399553519285E-8, h=89.87556309590244)
accent2 10 = Oklch(L=0.9801435096926572, C=0.017288441506673444, h=210.1893174767946)
accent2 50 = Oklch(L=0.9504419892403955, C=0.025446119423224053, h=244.42161340031348)
accent2 100 = Oklch(L=0.9122651850227259, C=0.040802776649905274, h=260.9514212227646)
accent2 200 = Oklch(L=0.8258335896654976, C=0.04058167549282111, h=260.1367401403375)
accent2 300 = Oklch(L=0.7410396799770982, C=0.03992634457286876, h=260.6657309546276)
accent2 400 = Oklch(L=0.6530190952487813, C=0.039884377526728035, h=259.78055545758355)
accent2 500 = Oklch(L=0.5619906273368455, C=0.040036318543402595, h=258.8446314960079)
accent2 600 = Oklch(L=0.4822405702962531, C=0.03961497864511731, h=259.3531337549641)
accent2 700 = Oklch(L=0.3946567327548723, C=0.040112212925041524, h=258.33479812466805)
accent2 800 = Oklch(L=0.30773922363376666, C=0.03985426468627766, h=260.39463453474616)
accent2 900 = Oklch(L=0.22242315157622136, C=0.040645021759960195, h=260.81563915432184)
accent2 1000 = Oklch(L=0.0, C=0.0, h=0.0)
accent3 0 = Oklch(L=0.9999999934735462, C=3.727399553519285E-8, h=89.87556309590244)
accent3 10 = Oklch(L=0.969324144298343, C=0.02707133338085392, h=325.7838803793865)
accent3 50 = Oklch(L=0.9486749251854402, C=0.045915099800249305, h=325.9323326355414)
accent3 100 = Oklch(L=0.9133007507710724, C=0.06067077436355199, h=320.0187011507116)
accent3 200 = Oklch(L=0.8261525038498322, C=0.06042572413310356, h=319.8473419464613)
accent3 300 = Oklch(L=0.7398847811201521, C=0.06026727068619563, h=319.6633110746422)
accent3 400 = Oklch(L=0.6540074854282922, C=0.05903538092948045, h=320.3132715429169)
accent3 500 = Oklch(L=0.5622932597171005, C=0.059264210617428585, h=320.1320036654065)
accent3 600 = Oklch(L=0.4814983147212279, C=0.060711160054791324, h=319.0037249458798)
accent3 700 = Oklch(L=0.3928343297045875, C=0.060089140871147195, h=319.70439308416803)
accent3 800 = Oklch(L=0.30784449559496735, C=0.06091861188177671, h=319.42613738618195)
accent3 900 = Oklch(L=0.2216281236724007, C=0.06042978031140168, h=320.2333886049766)
accent3 1000 = Oklch(L=0.0, C=0.0, h=0.0)
