neutral1 0 = Srlch2(L=99.99971911009246, C=0.0037769306395992776, h=187.52523775629302)
neutral1 10 = Srlch2(L=98.58137930483512, C=2.6127776455729816, h=235.88212155694023)
neutral1 50 = Srlch2(L=94.63103055672605, C=4.97625470551121, h=266.8470967588058)
neutral1 100 = Srlch2(L=89.96939577220085, C=4.712140341543314, h=260.8833431981932)
neutral1 200 = Srlch2(L=79.97066963011224, C=4.827695037678378, h=260.87864941133523)
neutral1 300 = Srlch2(L=69.81017204243294, C=5.295968715292541, h=266.80250529185037)
neutral1 400 = Srlch2(L=59.586116351606044, C=4.944537578871765, h=264.6006635340954)
neutral1 500 = Srlch2(L=49.11640875067769, C=4.971867485671613, h=268.5662930355049)
neutral1 600 = Srlch2(L=39.78023702025497, C=5.161963750129421, h=268.50721257102487)
neutral1 700 = Srlch2(L=29.567633464982926, C=4.827855102392539, h=266.1631564559802)
neutral1 800 = Srlch2(L=19.70762235158507, C=5.1160508799642646, h=266.0438072977509)
neutral1 900 = Srlch2(L=9.572851296539964, C=4.862705468226789, h=263.0474481891539)
neutral1 1000 = Srlch2(L=0.0, C=0.0, h=0.0)
neutral2 0 = Srlch2(L=99.99971911009246, C=0.0037769306395992776, h=187.52523775629302)
neutral2 10 = Srlch2(L=98.48390783149863, C=2.3164903566352524, h=260.8781475140262)
neutral2 50 = Srlch2(L=94.68498667728747, C=2.799936899329513, h=265.4566757459744)
neutral2 100 = Srlch2(L=89.84831857031959, C=2.7018953384950284, h=272.13096943898915)
neutral2 200 = Srlch2(L=79.84534075636975, C=2.769168209238192, h=272.12567765007793)
neutral2 300 = Srlch2(L=69.91998240891488, C=2.3275624546949363, h=268.71721040016917)
neutral2 400 = Srlch2(L=59.72506946864723, C=2.401421604380016, h=268.71109425929245)
neutral2 500 = Srlch2(L=49.1736348160756, C=2.4920549614461662, h=268.6973945943171)
neutral2 600 = Srlch2(L=39.83704390047664, C=2.5887816830948607, h=268.675492625307)
neutral2 700 = Srlch2(L=29.655767824700384, C=2.719865328140771, h=268.63377703509417)
neutral2 800 = Srlch2(L=19.761346573083813, C=2.260992290092184, h=263.34330123282587)
neutral2 900 = Srlch2(L=9.65783805812501, C=2.449946036408229, h=263.2737224463061)
neutral2 1000 = Srlch2(L=0.0, C=0.0, h=0.0)
accent1 0 = Srlch2(L=99.99971911009246, C=0.0037769306395992776, h=187.52523775629302)
accent1 10 = Srlch2(L=95.91711478962509, C=16.049097849460694, h=203.68287924434372)
accent1 50 = Srlch2(L=92.37109108977012, C=17.660047290375378, h=221.87844353969476)
accent1 100 = Srlch2(L=87.90431862051494, C=21.571666834336085, h=239.43316127556818)
accent1 200 = Srlch2(L=78.55362998140465, C=33.7535331634107, h=257.8546359962224)
accent1 300 = Srlch2(L=69.52930511279965, C=43.11051427620385, h=263.473790245799)
accent1 400 = Srlch2(L=59.219098683208436, C=43.3941805062004, h=263.80500185234393)
accent1 500 = Srlch2(L=48.507626582487994, C=42.808546790518605, h=263.71245859131017)
accent1 600 = Srlch2(L=39.089401599349856, C=43.21021511277146, h=263.6744205109417)
accent1 700 = Srlch2(L=28.885979800555326, C=42.64800683046587, h=263.3641834776696)
accent1 800 = Srlch2(L=18.8688647536818, C=42.45945516359659, h=263.1209238398936)
accent1 900 = Srlch2(L=8.615551277481384, C=41.751820620739615, h=266.2690514659008)
accent1 1000 = Srlch2(L=0.0, C=0.0, h=0.0)
accent2 0 = Srlch2(L=99.99971911009246, C=0.0037769306395992776, h=187.52523775629302)
accent2 10 = Srlch2(L=97.85100281840259, C=5.666300003833899, h=215.95487719860822)
accent2 50 = Srlch2(L=94.297448095448, C=9.177921141965008, h=250.83936621177776)
accent2 100 = Srlch2(L=89.7302769458053, C=15.12263570867664, h=265.38090255932104)
accent2 200 = Srlch2(L=79.70923998253488, C=14.997854634099816, h=264.6450274474625)
accent2 300 = Srlch2(L=69.86659310425549, C=14.741728193177623, h=265.06888135682675)
accent2 400 = Srlch2(L=59.65950263303031, C=14.66978435825862, h=264.2546603606994)
accent2 500 = Srlch2(L=49.10151556036647, C=14.654833202875576, h=263.3791099083031)
accent2 600 = Srlch2(L=39.839444735550266, C=14.461965486813359, h=263.7540631415104)
accent2 700 = Srlch2(L=29.674299910698345, C=14.538324828875558, h=262.7679552936245)
accent2 800 = Srlch2(L=19.554029020189418, C=14.384062557308539, h=264.4135352709846)
accent2 900 = Srlch2(L=9.610867406459215, C=14.514684325061001, h=264.56834645656863)
accent2 1000 = Srlch2(L=0.0, C=0.0, h=0.0)
accent3 0 = Srlch2(L=99.99971911009246, C=0.0037769306395992776, h=187.52523775629302)
accent3 10 = Srlch2(L=96.10065724444497, C=9.515336685752509, h=322.9977407163269)
accent3 50 = Srlch2(L=93.46185388031164, C=16.13858594799318, h=323.3418729274474)
accent3 100 = Srlch2(L=89.1893128484394, C=21.592374199806212, h=317.6875155813143)
accent3 200 = Srlch2(L=79.08096527529862, C=21.504724926446624, h=317.5787879618569)
accent3 300 = Srlch2(L=69.07297345170196, C=21.446661735714677, h=317.4706650313726)
accent3 400 = Srlch2(L=59.11967880790717, C=20.977296791475144, h=318.17851969797005)
accent3 500 = Srlch2(L=48.47187554556746, C=21.05488316362905, h=318.1290063296666)
accent3 600 = Srlch2(L=39.07628334584125, C=21.58904172421361, h=317.19659576386437)
accent3 700 = Srlch2(L=28.78315596217312, C=21.343303667469907, h=318.100964400281)
accent3 800 = Srlch2(L=18.89149966740867, C=21.648821884817185, h=318.18647382960364)
accent3 900 = Srlch2(L=8.854653401310433, C=21.541324906080476, h=319.58501690858117)
accent3 1000 = Srlch2(L=0.0, C=0.0, h=0.0)
