neutral1 0 = Cam16Ucs(J=100.0, C=2.2084816, h=209.4927196452843)
neutral1 10 = Cam16Ucs(J=98.077286, C=2.1880777, h=209.4925709298304)
neutral1 50 = Cam16Ucs(J=92.8308, C=2.1312075, h=209.49243248093396)
neutral1 100 = Cam16Ucs(J=86.24347, C=2.05717, h=209.4920090662484)
neutral1 200 = Cam16Ucs(J=73.39204, C=1.9028162, h=209.49368985621547)
neutral1 300 = Cam16Ucs(J=61.44706, C=1.7452142, h=209.49375913763424)
neutral1 400 = Cam16Ucs(J=49.99679, C=1.5771744, h=209.49630050100527)
neutral1 500 = Cam16Ucs(J=39.11102, C=1.3965627, h=209.4944966128844)
neutral1 600 = Cam16Ucs(J=30.351782, C=1.2301126, h=209.49464622026926)
neutral1 700 = Cam16Ucs(J=21.80448, C=1.0403436, h=209.4930626613441)
neutral1 800 = Cam16Ucs(J=14.609172, C=0.8463703, h=209.49561806975785)
neutral1 900 = Cam16Ucs(J=8.459497, C=0.63425946, h=209.49505575029764)
neutral1 1000 = Cam16Ucs(J=0.0, C=0.0, h=0.0)
neutral2 0 = Cam16Ucs(J=100.0, C=2.2084816, h=209.4927196452843)
neutral2 10 = Cam16Ucs(J=98.077286, C=2.1880777, h=209.4925709298304)
neutral2 50 = Cam16Ucs(J=92.8308, C=2.1312075, h=209.49243248093396)
neutral2 100 = Cam16Ucs(J=86.24347, C=2.05717, h=209.4920090662484)
neutral2 200 = Cam16Ucs(J=73.39204, C=1.9028162, h=209.49368985621547)
neutral2 300 = Cam16Ucs(J=61.44706, C=1.7452142, h=209.49375913763424)
neutral2 400 = Cam16Ucs(J=49.99679, C=1.5771744, h=209.49630050100527)
neutral2 500 = Cam16Ucs(J=39.11102, C=1.3965627, h=209.4944966128844)
neutral2 600 = Cam16Ucs(J=30.351782, C=1.2301126, h=209.49464622026926)
neutral2 700 = Cam16Ucs(J=21.80448, C=1.0403436, h=209.4930626613441)
neutral2 800 = Cam16Ucs(J=14.609172, C=0.8463703, h=209.49561806975785)
neutral2 900 = Cam16Ucs(J=8.459497, C=0.63425946, h=209.49505575029764)
neutral2 1000 = Cam16Ucs(J=0.0, C=0.0, h=0.0)
accent1 0 = Cam16Ucs(J=100.0, C=2.2084816, h=209.4927196452843)
accent1 10 = Cam16Ucs(J=98.80766, C=2.7299166, h=250.82197785324428)
accent1 50 = Cam16Ucs(J=93.90298, C=7.3203173, h=248.95982134797623)
accent1 100 = Cam16Ucs(J=86.04667, C=13.178498, h=256.15859507930026)
accent1 200 = Cam16Ucs(J=72.98092, C=20.912174, h=259.9632287818206)
accent1 300 = Cam16Ucs(J=61.17438, C=27.00235, h=261.51753374828286)
accent1 400 = Cam16Ucs(J=49.3391, C=32.14935, h=264.8351485802521)
accent1 500 = Cam16Ucs(J=39.436565, C=35.630703, h=268.98689238794833)
accent1 600 = Cam16Ucs(J=30.998411, C=33.96991, h=270.2926879410885)
accent1 700 = Cam16Ucs(J=22.69793, C=30.174719, h=270.17340552082976)
accent1 800 = Cam16Ucs(J=15.204598, C=25.195477, h=269.217588892677)
accent1 900 = Cam16Ucs(J=9.85628, C=20.308083, h=267.90343293354323)
accent1 1000 = Cam16Ucs(J=0.0, C=0.0, h=0.0)
accent2 0 = Cam16Ucs(J=100.0, C=2.2084816, h=209.4927196452843)
accent2 10 = Cam16Ucs(J=98.49278, C=2.9194317, h=265.5208443254855)
accent2 50 = Cam16Ucs(J=92.5058, C=8.409102, h=274.4267833107895)
accent2 100 = Cam16Ucs(J=86.57147, C=13.047026, h=280.72938154612757)
accent2 200 = Cam16Ucs(J=73.674644, C=13.008188, h=281.17293335626937)
accent2 300 = Cam16Ucs(J=61.687355, C=12.9785795, h=281.6195999109393)
accent2 400 = Cam16Ucs(J=50.51098, C=13.02808, h=280.4078972589759)
accent2 500 = Cam16Ucs(J=39.323196, C=13.343061, h=282.7719634216767)
accent2 600 = Cam16Ucs(J=30.444912, C=13.427892, h=281.4589271236876)
accent2 700 = Cam16Ucs(J=22.185335, C=13.12562, h=281.58782580087234)
accent2 800 = Cam16Ucs(J=14.84821, C=12.8926525, h=279.75034103839727)
accent2 900 = Cam16Ucs(J=8.640822, C=13.010462, h=278.098829307595)
accent2 1000 = Cam16Ucs(J=0.0, C=0.0, h=0.0)
accent3 0 = Cam16Ucs(J=100.0, C=2.2084816, h=209.4927196452843)
accent3 10 = Cam16Ucs(J=98.65257, C=1.6700788, h=282.59489700694763)
accent3 50 = Cam16Ucs(J=92.619446, C=11.296274, h=323.5901538535538)
accent3 100 = Cam16Ucs(J=87.20766, C=15.418168, h=317.0140525483811)
accent3 200 = Cam16Ucs(J=74.37278, C=16.473614, h=314.71913365264317)
accent3 300 = Cam16Ucs(J=62.26509, C=16.56926, h=314.7868594522504)
accent3 400 = Cam16Ucs(J=50.78588, C=16.768269, h=315.92845898731827)
accent3 500 = Cam16Ucs(J=39.608624, C=16.609241, h=315.5938903978583)
accent3 600 = Cam16Ucs(J=31.106997, C=16.72157, h=315.6026861995968)
accent3 700 = Cam16Ucs(J=22.560694, C=17.000502, h=316.9006131866649)
accent3 800 = Cam16Ucs(J=15.151702, C=16.811224, h=316.46667883523753)
accent3 900 = Cam16Ucs(J=8.962944, C=16.600267, h=317.3570627964183)
accent3 1000 = Cam16Ucs(J=0.0, C=0.0, h=0.0)
