neutral1 0 = Cam16(J=100.0, M=2.2650306, C=2.8690062, h=209.49272, Q=155.52122, s=12.068192)
neutral1 10 = Cam16(J=98.077286, M=2.243577, C=2.841832, h=209.49257, Q=154.01886, s=12.069341)
neutral1 50 = Cam16(J=92.8308, M=2.1838365, C=2.7661614, h=209.49243, Q=149.84274, s=12.072361)
neutral1 100 = Cam16(J=86.24347, M=2.1061788, C=2.6677961, h=209.492, Q=144.42848, s=12.075947)
neutral1 200 = Cam16(J=73.39204, M=1.944695, C=2.4632523, h=209.4937, Q=133.23372, s=12.081438)
neutral1 300 = Cam16(J=61.44706, M=1.7804021, C=2.2551503, h=209.49374, Q=121.91025, s=12.084785)
neutral1 400 = Cam16(J=49.99679, M=1.605875, C=2.0340853, h=209.49629, Q=109.9666, s=12.084411)
neutral1 500 = Cam16(J=39.11102, M=1.4190367, C=1.7974261, h=209.49449, Q=97.261116, s=12.078895)
neutral1 600 = Cam16(J=30.351782, M=1.2475249, C=1.5801802, h=209.49464, Q=85.68046, s=12.066566)
neutral1 700 = Cam16(J=21.80448, M=1.0527806, C=1.333507, h=209.49304, Q=72.621056, s=12.04031)
neutral1 800 = Cam16(J=14.609172, M=0.85458803, C=1.0824659, h=209.49562, Q=59.44324, s=11.99022)
neutral1 900 = Cam16(J=8.459497, M=0.6388659, C=0.8092209, h=209.49506, Q=45.23369, s=11.884306)
neutral1 1000 = Cam16(J=0.0, M=0.0, C=0.0, h=0.0, Q=0.0, s=0.0)
neutral2 0 = Cam16(J=100.0, M=2.2650306, C=2.8690062, h=209.49272, Q=155.52122, s=12.068192)
neutral2 10 = Cam16(J=98.077286, M=2.243577, C=2.841832, h=209.49257, Q=154.01886, s=12.069341)
neutral2 50 = Cam16(J=92.8308, M=2.1838365, C=2.7661614, h=209.49243, Q=149.84274, s=12.072361)
neutral2 100 = Cam16(J=86.24347, M=2.1061788, C=2.6677961, h=209.492, Q=144.42848, s=12.075947)
neutral2 200 = Cam16(J=73.39204, M=1.944695, C=2.4632523, h=209.4937, Q=133.23372, s=12.081438)
neutral2 300 = Cam16(J=61.44706, M=1.7804021, C=2.2551503, h=209.49374, Q=121.91025, s=12.084785)
neutral2 400 = Cam16(J=49.99679, M=1.605875, C=2.0340853, h=209.49629, Q=109.9666, s=12.084411)
neutral2 500 = Cam16(J=39.11102, M=1.4190367, C=1.7974261, h=209.49449, Q=97.261116, s=12.078895)
neutral2 600 = Cam16(J=30.351782, M=1.2475249, C=1.5801802, h=209.49464, Q=85.68046, s=12.066566)
neutral2 700 = Cam16(J=21.80448, M=1.0527806, C=1.333507, h=209.49304, Q=72.621056, s=12.04031)
neutral2 800 = Cam16(J=14.609172, M=0.85458803, C=1.0824659, h=209.49562, Q=59.44324, s=11.99022)
neutral2 900 = Cam16(J=8.459497, M=0.6388659, C=0.8092209, h=209.49506, Q=45.23369, s=11.884306)
neutral2 1000 = Cam16(J=0.0, M=0.0, C=0.0, h=0.0, Q=0.0, s=0.0)
accent1 0 = Cam16(J=100.0, M=2.2650306, C=2.8690062, h=209.49272, Q=155.52122, s=12.068192)
accent1 10 = Cam16(J=98.80766, M=2.8166647, C=3.5677347, h=250.82196, Q=154.59128, s=13.498175)
accent1 50 = Cam16(J=93.90298, M=7.9666615, C=10.09099, h=248.95981, Q=150.70558, s=22.991827)
accent1 100 = Cam16(J=86.04667, M=15.372503, C=19.471617, h=256.1586, Q=144.26358, s=32.64329)
accent1 200 = Cam16(J=72.98092, M=26.794178, C=33.938908, h=259.96323, Q=132.86003, s=44.907932)
accent1 300 = Cam16(J=61.17438, M=37.318676, C=47.269787, h=261.51755, Q=121.639465, s=55.389297)
accent1 400 = Cam16(J=49.3391, M=47.426575, C=60.07298, h=264.83514, Q=109.240906, s=65.88981)
accent1 500 = Cam16(J=39.436565, M=54.967743, C=69.625015, h=268.98688, Q=97.66507, s=75.021255)
accent1 600 = Cam16(J=30.998411, M=51.295494, C=64.97356, h=270.2927, Q=86.58834, s=76.96795)
accent1 700 = Cam16(J=22.69793, M=43.407864, C=54.98267, h=270.1734, Q=74.09396, s=76.540764)
accent1 800 = Cam16(J=15.204598, M=34.04235, C=43.11982, h=269.2176, Q=60.64251, s=74.92404)
accent1 900 = Cam16(J=9.85628, M=25.827715, C=32.714733, h=267.90344, Q=48.825447, s=72.73106)
accent1 1000 = Cam16(J=0.0, M=0.0, C=0.0, h=0.0, Q=0.0, s=0.0)
accent2 0 = Cam16(J=100.0, M=2.2650306, C=2.8690062, h=209.49272, Q=155.52122, s=12.068192)
accent2 10 = Cam16(J=98.49278, M=3.0187876, C=3.823754, h=265.52084, Q=154.34476, s=13.985254)
accent2 50 = Cam16(J=92.5058, M=9.269315, C=11.740998, h=274.4268, Q=149.58023, s=24.893543)
accent2 100 = Cam16(J=86.57147, M=15.195216, C=19.247055, h=280.72937, Q=144.70285, s=32.405216)
accent2 200 = Cam16(J=73.674644, M=15.142947, C=19.18085, h=281.1729, Q=133.49, s=33.68068)
accent2 300 = Cam16(J=61.687355, M=15.1031275, C=19.130411, h=281.6196, Q=122.1484, s=35.163296)
accent2 400 = Cam16(J=50.51098, M=15.16971, C=19.214748, h=280.4079, Q=110.53061, s=37.046516)
accent2 500 = Cam16(J=39.323196, M=15.595163, C=19.753649, h=282.77194, Q=97.52458, s=39.988754)
accent2 600 = Cam16(J=30.444912, M=15.710266, C=19.899445, h=281.45892, Q=85.811806, s=42.78763)
accent2 700 = Cam16(J=22.185335, M=15.301135, C=19.381218, h=281.58783, Q=73.25253, s=45.70361)
accent2 800 = Cam16(J=14.84821, M=14.987723, C=18.984234, h=279.75034, Q=59.927578, s=50.009727)
accent2 900 = Cam16(J=8.640822, M=15.146005, C=19.184721, h=278.09882, Q=45.715897, s=57.559288)
accent2 1000 = Cam16(J=0.0, M=0.0, C=0.0, h=0.0, Q=0.0, s=0.0)
accent3 0 = Cam16(J=100.0, M=2.2650306, C=2.8690062, h=209.49272, Q=155.52122, s=12.068192)
accent3 10 = Cam16(J=98.65257, M=1.7022818, C=2.1561992, h=282.59488, Q=154.46991, s=10.497691)
accent3 50 = Cam16(J=92.619446, M=12.884345, C=16.319984, h=323.59015, Q=149.67206, s=29.340046)
accent3 100 = Cam16(J=87.20766, M=18.47572, C=23.402313, h=317.01404, Q=145.23357, s=35.66705)
