neutral1 0 = CieLch(L=100.0, C=0.011662039483869973, h=296.81292623674057)
neutral1 10 = CieLch(L=98.61813872854867, C=0.0115231143053877, h=296.81292623675336)
neutral1 50 = CieLch(L=94.79624582959184, C=0.011138880978725198, h=296.81292623667105)
neutral1 100 = CieLch(L=89.88368804941723, C=0.010644997851140243, h=296.81292623684845)
neutral1 200 = CieLch(L=79.88121630968037, C=0.009639401123862287, h=296.81292623664604)
neutral1 300 = CieLch(L=69.9821315768838, C=0.00864419839102774, h=296.8129262366935)
neutral1 400 = CieLch(L=59.788710239487784, C=0.007619404579719389, h=296.8129262367832)
neutral1 500 = CieLch(L=49.23898744619521, C=0.006558790064522804, h=296.81292623647585)
neutral1 600 = CieLch(L=39.90405327318043, C=0.005620304108452331, h=296.81292623646146)
neutral1 700 = CieLch(L=29.72468203170552, C=0.004596922821041311, h=296.8129262363642)
neutral1 800 = CieLch(L=19.86553351453218, C=0.0036057350685829406, h=296.8129262362821)
neutral1 900 = CieLch(L=9.766934231515162, C=0.00259047417574661, h=296.81292623665735)
neutral1 1000 = CieLch(L=0.0, C=0.0, h=0.0)
neutral2 0 = CieLch(L=100.0, C=0.011662039483869973, h=296.81292623674057)
neutral2 10 = CieLch(L=98.61813872854867, C=0.0115231143053877, h=296.81292623675336)
neutral2 50 = CieLch(L=94.79624582959184, C=0.011138880978725198, h=296.81292623667105)
neutral2 100 = CieLch(L=89.88368804941723, C=0.010644997851140243, h=296.81292623684845)
neutral2 200 = CieLch(L=79.88121630968037, C=0.009639401123862287, h=296.81292623664604)
neutral2 300 = CieLch(L=69.9821315768838, C=0.00864419839102774, h=296.8129262366935)
neutral2 400 = CieLch(L=59.788710239487784, C=0.007619404579719389, h=296.8129262367832)
neutral2 500 = CieLch(L=49.23898744619521, C=0.006558790064522804, h=296.81292623647585)
neutral2 600 = CieLch(L=39.90405327318043, C=0.005620304108452331, h=296.81292623646146)
neutral2 700 = CieLch(L=29.72468203170552, C=0.004596922821041311, h=296.8129262363642)
neutral2 800 = CieLch(L=19.86553351453218, C=0.0036057350685829406, h=296.8129262362821)
neutral2 900 = CieLch(L=9.766934231515162, C=0.00259047417574661, h=296.81292623665735)
neutral2 1000 = CieLch(L=0.0, C=0.0, h=0.0)
accent1 0 = CieLch(L=100.0, C=0.011662039483869973, h=296.81292623674057)
accent1 10 = CieLch(L=99.11296983274175, C=1.580796140011747, h=303.06552180699117)
accent1 50 = CieLch(L=95.6179385481456, C=6.095794406472559, h=267.4140789377624)
accent1 100 = CieLch(L=89.80308641970595, C=14.404606357580532, h=269.51405465346454)
accent1 200 = CieLch(L=79.65580588013641, C=28.491462394414977, h=272.74415131246894)
accent1 300 = CieLch(L=69.8717947549901, C=42.98396982693823, h=276.11959436301004)
accent1 400 = CieLch(L=59.19588593132775, C=60.10870501823881, h=282.5170175753959)
accent1 500 = CieLch(L=49.320906686938244, C=77.63924549586018, h=289.87328170603695)
accent1 600 = CieLch(L=40.314507714716605, C=73.06037008787118, h=291.73370716276173)
accent1 700 = CieLch(L=30.6071933982247, C=59.539363687478826, h=291.44187940797883)
accent1 800 = CieLch(L=20.597651996351722, C=43.844562354133934, h=290.03611191546054)
accent1 900 = CieLch(L=12.191319464168199, C=31.06519862357519, h=288.15233576039526)
accent1 1000 = CieLch(L=0.0, C=0.0, h=0.0)
accent2 0 = CieLch(L=100.0, C=0.011662039483869973, h=296.81292623674057)
accent2 10 = CieLch(L=98.8664688481656, C=2.171299817526351, h=309.07171103308224)
accent2 50 = CieLch(L=94.47185755581395, C=8.752999220992969, h=288.6209361226183)
accent2 100 = CieLch(L=89.9610560853713, C=16.12737647369042, h=290.28254327902016)
accent2 200 = CieLch(L=79.93879295611605, C=16.00039616437655, h=290.3721440149142)
accent2 300 = CieLch(L=70.02009133499169, C=15.895653210903006, h=290.48973903232604)
accent2 400 = CieLch(L=60.1120570279644, C=15.8268691104269, h=289.36009664812235)
accent2 500 = CieLch(L=49.279552589980426, C=16.44561855542603, h=291.03794002804955)
accent2 600 = CieLch(L=39.84842347391963, C=16.488940864282863, h=290.0846207795874)
accent2 700 = CieLch(L=30.053497170794877, C=16.019755426554084, h=290.3722907839194)
accent2 800 = CieLch(L=20.086696384708787, C=15.665017585742445, h=289.5476311425915)
accent2 900 = CieLch(L=9.9749032642206, C=16.247522792828807, h=289.96474053939573)
accent2 1000 = CieLch(L=0.0, C=0.0, h=0.0)
accent3 0 = CieLch(L=100.0, C=0.011662039483869973, h=296.81292623674057)
accent3 10 = CieLch(L=98.9646542674444, C=1.7482778103507584, h=343.50108851071343)
accent3 50 = CieLch(L=94.1547072501388, C=14.991955342032664, h=324.9415637738634)
accent3 100 = CieLch(L=89.97908007524394, C=22.098016758020627, h=317.52064214347814)
accent3 200 = CieLch(L=80.0146775588763, C=23.916963199176827, h=315.1571837343705)
accent3 300 = CieLch(L=70.03296631874315, C=23.90636485349154, h=314.9626885935442)
accent3 400 = CieLch(L=59.853492960056386, C=24.107767533231105, h=315.6058830068953)
accent3 500 = CieLch(L=49.09951111896713, C=23.613605510960703, h=315.1460287808736)
accent3 600 = CieLch(L=40.1009475717496, C=23.723097899597153, h=314.9847849964022)
accent3 700 = CieLch(L=30.0091097353027, C=24.18808324106348, h=315.8108592901075)
accent3 800 = CieLch(L=20.006703991951504, C=23.921721430869592, h=315.4452822116762)
accent3 900 = CieLch(L=10.010378861427057, C=23.88372440319967, h=316.1642189106922)
accent3 1000 = CieLch(L=0.0, C=0.0, h=0.0)
