neutral1 0 = IptLch(L=0.9999879031114021, C=1.6258516168654594E-4, h=89.3894897830787)
neutral1 10 = IptLch(L=0.9846474578193367, C=1.600910027358814E-4, h=89.38948978315051)
neutral1 50 = IptLch(L=0.9424997605982728, C=1.532383296729464E-4, h=89.38948978307609)
neutral1 100 = IptLch(L=0.8889420032861702, C=1.4453052770389068E-4, h=89.38948978306458)
neutral1 200 = IptLch(L=0.7821322613043517, C=1.271646384602885E-4, h=89.38948978298565)
neutral1 300 = IptLch(L=0.6795642564724812, C=1.104884010803127E-4, h=89.38948978310215)
neutral1 400 = IptLch(L=0.577475769680768, C=9.389012716128814E-5, h=89.38948978307201)
neutral1 500 = IptLch(L=0.47594661627790946, C=7.738279365255192E-5, h=89.38948978302673)
neutral1 600 = IptLch(L=0.3899831057451838, C=6.340623332032127E-5, h=89.38948978304468)
neutral1 700 = IptLch(L=0.30091118823505136, C=4.8924286024030416E-5, h=89.38948978304921)
neutral1 800 = IptLch(L=0.21997719072870886, C=3.576545977266887E-5, h=89.38948978305142)
neutral1 900 = IptLch(L=0.14358692218137323, C=2.3345385365402398E-5, h=89.38948978297637)
neutral1 1000 = IptLch(L=0.0, C=0.0, h=0.0)
neutral2 0 = IptLch(L=0.9999879031114021, C=1.6258516168654594E-4, h=89.3894897830787)
neutral2 10 = IptLch(L=0.9846474578193367, C=1.600910027358814E-4, h=89.38948978315051)
neutral2 50 = IptLch(L=0.9424997605982728, C=1.532383296729464E-4, h=89.38948978307609)
neutral2 100 = IptLch(L=0.8889420032861702, C=1.4453052770389068E-4, h=89.38948978306458)
neutral2 200 = IptLch(L=0.7821322613043517, C=1.271646384602885E-4, h=89.38948978298565)
neutral2 300 = IptLch(L=0.6795642564724812, C=1.104884010803127E-4, h=89.38948978310215)
neutral2 400 = IptLch(L=0.577475769680768, C=9.389012716128814E-5, h=89.38948978307201)
neutral2 500 = IptLch(L=0.47594661627790946, C=7.738279365255192E-5, h=89.38948978302673)
neutral2 600 = IptLch(L=0.3899831057451838, C=6.340623332032127E-5, h=89.38948978304468)
neutral2 700 = IptLch(L=0.30091118823505136, C=4.8924286024030416E-5, h=89.38948978304921)
neutral2 800 = IptLch(L=0.21997719072870886, C=3.576545977266887E-5, h=89.38948978305142)
neutral2 900 = IptLch(L=0.14358692218137323, C=2.3345385365402398E-5, h=89.38948978297637)
neutral2 1000 = IptLch(L=0.0, C=0.0, h=0.0)
accent1 0 = IptLch(L=0.9999879031114021, C=1.6258516168654594E-4, h=89.3894897830787)
accent1 10 = IptLch(L=0.9919002857961002, C=0.010346065609392788, h=160.24453030478244)
accent1 50 = IptLch(L=0.9589208441481138, C=0.04966577808962609, h=197.58148824740812)
accent1 100 = IptLch(L=0.9054579103389311, C=0.11624667311688947, h=197.25552734350114)
accent1 200 = IptLch(L=0.8136067905852876, C=0.226040988351539, h=197.35999801402832)
accent1 300 = IptLch(L=0.7284103275533538, C=0.3357234716365608, h=198.1522473462291)
accent1 400 = IptLch(L=0.6392018396511207, C=0.4516532882647029, h=198.06808690624183)
accent1 500 = IptLch(L=0.5595725008638506, C=0.5496231481185847, h=197.82492348117128)
accent1 600 = IptLch(L=0.4679807099073111, C=0.49111673412453244, h=197.64208023903254)
accent1 700 = IptLch(L=0.3657923109178456, C=0.37923906800936685, h=197.62742172260542)
accent1 800 = IptLch(L=0.2653241504960081, C=0.26220683380627774, h=197.81382383046656)
accent1 900 = IptLch(L=0.1873312431401974, C=0.17382922109766075, h=198.1258417521542)
accent1 1000 = IptLch(L=0.0, C=0.0, h=0.0)
accent2 0 = IptLch(L=0.9999879031114021, C=1.6258516168654594E-4, h=89.3894897830787)
accent2 10 = IptLch(L=0.9896958918358505, C=0.013782663240170821, h=152.69803043078755)
accent2 50 = IptLch(L=0.9495393249440848, C=0.06260959122594398, h=178.69509372951032)
accent2 100 = IptLch(L=0.9090421114831483, C=0.11339351557596933, h=178.20182111050087)
accent2 200 = IptLch(L=0.8013142019188251, C=0.10937434693969744, h=178.35518348794076)
accent2 300 = IptLch(L=0.6978398299628985, C=0.10534862582099565, h=178.5361993937672)
accent2 400 = IptLch(L=0.5979382557692581, C=0.10235524292650812, h=180.17294956268557)
accent2 500 = IptLch(L=0.4934336978790611, C=0.10077988868360659, h=179.08210235928797)
accent2 600 = IptLch(L=0.40596800049720666, C=0.09774390887104802, h=180.90330699618403)
accent2 700 = IptLch(L=0.31887016513881755, C=0.09004870981254226, h=181.50691860811605)
accent2 800 = IptLch(L=0.23563455051710436, C=0.08343574549061486, h=183.974978699643)
accent2 900 = IptLch(L=0.15826168019792963, C=0.08019183904222851, h=187.0019009292006)
accent2 1000 = IptLch(L=0.0, C=0.0, h=0.0)
accent3 0 = IptLch(L=0.9999879031114021, C=1.6258516168654594E-4, h=89.3894897830787)
accent3 10 = IptLch(L=0.989370920511633, C=0.0113516226083807, h=104.25816508156001)
accent3 50 = IptLch(L=0.9480620413672279, C=0.09084682963027914, h=130.78694809559474)
accent3 100 = IptLch(L=0.9108334776068802, C=0.13311267575016816, h=142.28441300530767)
accent3 200 = IptLch(L=0.8062617768763429, C=0.14076367738908876, h=146.13828833445154)
accent3 300 = IptLch(L=0.7021770650993138, C=0.13635978316755712, h=146.60619580308975)
accent3 400 = IptLch(L=0.5994543276357295, C=0.1323530207537849, h=145.81178804917812)
accent3 500 = IptLch(L=0.49480401355866654, C=0.12414443701845099, h=146.8034840053781)
accent3 600 = IptLch(L=0.41126562705238484, C=0.11947564864114639, h=147.42098976944231)
accent3 700 = IptLch(L=0.3219962722532931, C=0.11475387786047889, h=146.60935559799597)
accent3 800 = IptLch(L=0.23849460061559857, C=0.1056826844960628, h=148.0684941162098)
accent3 900 = IptLch(L=0.16118155088837322, C=0.09571782878288868, h=148.21370883683528)
accent3 1000 = IptLch(L=0.0, C=0.0, h=0.0)
