neutral1 0 = Oklch(L=0.9999999934735462, C=3.727399553519285E-8, h=89.87556309590244)
neutral1 10 = Oklch(L=0.9880873963836093, C=3.682996534195955E-8, h=89.87556254780027)
neutral1 50 = Oklch(L=0.9551400440214246, C=3.560188591525941E-8, h=89.87556327194771)
neutral1 100 = Oklch(L=0.9127904082618294, C=3.4023345780435836E-8, h=89.87556270110856)
neutral1 200 = Oklch(L=0.8265622041716898, C=3.080927607285076E-8, h=89.87556255086416)
neutral1 300 = Oklch(L=0.7412252673769428, C=2.762842731390358E-8, h=89.87556256733544)
neutral1 400 = Oklch(L=0.653350946076347, C=2.435300043038782E-8, h=89.87556306962595)
neutral1 500 = Oklch(L=0.5624050605208273, C=2.0963083804643558E-8, h=89.87556216495983)
neutral1 600 = Oklch(L=0.48193149058901036, C=1.7963512299525764E-8, h=89.87556298760401)
neutral1 700 = Oklch(L=0.39417829080418526, C=1.4692599926948869E-8, h=89.87556318367439)
neutral1 800 = Oklch(L=0.3091856317280812, C=1.1524583877742428E-8, h=89.87556314108953)
neutral1 900 = Oklch(L=0.22212874192541768, C=8.279625777627656E-9, h=89.87556275870742)
neutral1 1000 = Oklch(L=0.0, C=0.0, h=0.0)
neutral2 0 = Oklch(L=0.9999999934735462, C=3.727399553519285E-8, h=89.87556309590244)
neutral2 10 = Oklch(L=0.9880873963836093, C=3.682996534195955E-8, h=89.87556254780027)
neutral2 50 = Oklch(L=0.9551400440214246, C=3.560188591525941E-8, h=89.87556327194771)
neutral2 100 = Oklch(L=0.9127904082618294, C=3.4023345780435836E-8, h=89.87556270110856)
neutral2 200 = Oklch(L=0.8265622041716898, C=3.080927607285076E-8, h=89.87556255086416)
neutral2 300 = Oklch(L=0.7412252673769428, C=2.762842731390358E-8, h=89.87556256733544)
neutral2 400 = Oklch(L=0.653350946076347, C=2.435300043038782E-8, h=89.87556306962595)
neutral2 500 = Oklch(L=0.5624050605208273, C=2.0963083804643558E-8, h=89.87556216495983)
neutral2 600 = Oklch(L=0.48193149058901036, C=1.7963512299525764E-8, h=89.87556298760401)
neutral2 700 = Oklch(L=0.39417829080418526, C=1.4692599926948869E-8, h=89.87556318367439)
neutral2 800 = Oklch(L=0.3091856317280812, C=1.1524583877742428E-8, h=89.87556314108953)
neutral2 900 = Oklch(L=0.22212874192541768, C=8.279625777627656E-9, h=89.87556275870742)
neutral2 1000 = Oklch(L=0.0, C=0.0, h=0.0)
accent1 0 = Oklch(L=0.9999999934735462, C=3.727399553519285E-8, h=89.87556309590244)
accent1 10 = Oklch(L=0.9926696305241812, C=0.004079195108670175, h=301.42690266114266)
accent1 50 = Oklch(L=0.9620778679286557, C=0.016557971892915337, h=259.4182698583569)
accent1 100 = Oklch(L=0.9119338173254935, C=0.039561561402501326, h=260.14672418570456)
accent1 200 = Oklch(L=0.8248310942401036, C=0.07965934394162799, h=260.2630632724486)
accent1 300 = Oklch(L=0.7413966361624524, C=0.12219994293880437, h=259.30533269686316)
accent1 400 = Oklch(L=0.652172141678619, C=0.17053462671163974, h=259.56298982773774)
accent1 500 = Oklch(L=0.5720419559294708, C=0.21417567063774892, h=260.200318807015)
accent1 600 = Oklch(L=0.4948838733384782, C=0.19916320899165824, h=260.60095166090866)
accent1 700 = Oklch(L=0.4093315121030068, C=0.16258444877479156, h=260.60151314063125)
accent1 800 = Oklch(L=0.3205921122299552, C=0.12083518474418074, h=260.2267169003392)
accent1 900 = Oklch(L=0.24621005335176552, C=0.08659684361872291, h=259.65628812581645)
accent1 1000 = Oklch(L=0.0, C=0.0, h=0.0)
accent2 0 = Oklch(L=0.9999999934735462, C=3.727399553519285E-8, h=89.87556309590244)
accent2 10 = Oklch(L=0.9907341815315888, C=0.00565792385195497, h=308.3971266514104)
accent2 50 = Oklch(L=0.9533533205179525, C=0.02279329219294944, h=283.2664037137049)
accent2 100 = Oklch(L=0.9154979081446258, C=0.04209829811512061, h=284.067194800568)
accent2 200 = Oklch(L=0.8290939855552993, C=0.04179089064102631, h=283.93369895406056)
accent2 300 = Oklch(L=0.7435887576908506, C=0.041543971563023724, h=283.7761531251151)
accent2 400 = Oklch(L=0.6580524308438818, C=0.04148733836682614, h=281.9695965449963)
accent2 500 = Oklch(L=0.5649277617743961, C=0.04305329995432138, h=283.3199596897022)
accent2 600 = Oklch(L=0.483531739011648, C=0.04331724333886543, h=281.3314694994537)
accent2 700 = Oklch(L=0.39906806202566136, C=0.04213082764499258, h=280.7444652287389)
accent2 800 = Oklch(L=0.3130178791120523, C=0.04141691657463311, h=277.99549357250163)
accent2 900 = Oklch(L=0.22596283310934118, C=0.04316172983185823, h=274.6164178231774)
accent2 1000 = Oklch(L=0.0, C=0.0, h=0.0)
accent3 0 = Oklch(L=0.9999999934735462, C=3.727399553519285E-8, h=89.87556309590244)
accent3 10 = Oklch(L=0.9917033309890589, C=0.0049767333050714435, h=345.2752342131994)
accent3 50 = Oklch(L=0.9542677254713428, C=0.04076000434448974, h=325.8914073710525)
accent3 100 = Oklch(L=0.9198376248005571, C=0.05887310941400834, h=317.17348878791177)
accent3 200 = Oklch(L=0.8342148532218462, C=0.0633236203414167, h=314.1394017515515)
accent3 300 = Oklch(L=0.7481637967749992, C=0.06325003083706722, h=313.7545289289176)
accent3 400 = Oklch(L=0.6605743059838223, C=0.06386485455886905, h=314.35565734783773)
accent3 500 = Oklch(L=0.5677147227250198, C=0.06244211933998532, h=313.55510302798234)
accent3 600 = Oklch(L=0.49020217010184913, C=0.062640649633304, h=313.04317406493715)
accent3 700 = Oklch(L=0.40352160621901734, C=0.06389563572460219, h=313.6250967095711)
accent3 800 = Oklch(L=0.3172942143647286, C=0.06288345518221414, h=312.4489297611574)
accent3 900 = Oklch(L=0.23142225709600123, C=0.06241964698921664, h=312.26494898696296)
accent3 1000 = Oklch(L=0.0, C=0.0, h=0.0)
