neutral1 0 = Srlch2(L=99.99971911009246, C=0.0037769306395992776, h=187.52523775629302)
neutral1 10 = Srlch2(L=98.61786194717564, C=0.003719291511271404, h=187.5302406090894)
neutral1 50 = Srlch2(L=94.79598041142819, C=0.0035598758283401986, h=187.54492094198758)
neutral1 100 = Srlch2(L=89.88343723721563, C=0.003354967601018538, h=187.56583975206328)
neutral1 200 = Srlch2(L=79.88099523671632, C=0.002937755098527968, h=187.61745237421533)
neutral1 300 = Srlch2(L=69.98193993576817, C=0.0025248580840879814, h=187.68532506061706)
neutral1 400 = Srlch2(L=59.78854890533891, C=0.0020996892861706476, h=187.7831119520583)
neutral1 500 = Srlch2(L=49.23885747836461, C=0.0016596689107999216, h=187.9370753680421)
neutral1 600 = Srlch2(L=39.9039510598721, C=0.001270332901341042, h=188.16225330217392)
neutral1 700 = Srlch2(L=29.724610083590353, C=8.458214845938707E-4, h=188.64407046988288)
neutral1 800 = Srlch2(L=19.86549087952754, C=4.3483096369706506E-4, h=190.00750308961844)
neutral1 900 = Srlch2(L=9.766921621553388, C=2.4977470881908486E-5, h=245.6283876669677)
neutral1 1000 = Srlch2(L=0.0, C=0.0, h=0.0)
neutral2 0 = Srlch2(L=99.99971911009246, C=0.0037769306395992776, h=187.52523775629302)
neutral2 10 = Srlch2(L=98.61786194717564, C=0.003719291511271404, h=187.5302406090894)
neutral2 50 = Srlch2(L=94.79598041142819, C=0.0035598758283401986, h=187.54492094198758)
neutral2 100 = Srlch2(L=89.88343723721563, C=0.003354967601018538, h=187.56583975206328)
neutral2 200 = Srlch2(L=79.88099523671632, C=0.002937755098527968, h=187.61745237421533)
neutral2 300 = Srlch2(L=69.98193993576817, C=0.0025248580840879814, h=187.68532506061706)
neutral2 400 = Srlch2(L=59.78854890533891, C=0.0020996892861706476, h=187.7831119520583)
neutral2 500 = Srlch2(L=49.23885747836461, C=0.0016596689107999216, h=187.9370753680421)
neutral2 600 = Srlch2(L=39.9039510598721, C=0.001270332901341042, h=188.16225330217392)
neutral2 700 = Srlch2(L=29.724610083590353, C=8.458214845938707E-4, h=188.64407046988288)
neutral2 800 = Srlch2(L=19.86549087952754, C=4.3483096369706506E-4, h=190.00750308961844)
neutral2 900 = Srlch2(L=9.766921621553388, C=2.4977470881908486E-5, h=245.6283876669677)
neutral2 1000 = Srlch2(L=0.0, C=0.0, h=0.0)
accent1 0 = Srlch2(L=99.99971911009246, C=0.0037769306395992776, h=187.52523775629302)
accent1 10 = Srlch2(L=99.11007338609043, C=1.5257793166238744, h=299.997883154284)
accent1 50 = Srlch2(L=95.57666935030267, C=6.191593039000237, h=264.2684200871564)
accent1 100 = Srlch2(L=89.70276587593902, C=14.65260281283783, h=264.6955582760131)
accent1 200 = Srlch2(L=79.44185813619475, C=28.994969232693094, h=264.45774650335517)
accent1 300 = Srlch2(L=69.51345482169145, C=43.69973367400713, h=263.33508751414234)
accent1 400 = Srlch2(L=58.64266090727027, C=60.11030870965767, h=263.26066978282813)
accent1 500 = Srlch2(L=48.54102710174356, C=74.91969637711627, h=263.4464629109127)
accent1 600 = Srlch2(L=39.5698485603877, C=69.63914344421873, h=263.6691572421368)
accent1 700 = Srlch2(L=30.002966624420306, C=56.85683361381404, h=263.69156378942495)
accent1 800 = Srlch2(L=20.156593155408554, C=42.265848718763905, h=263.4597558402204)
accent1 900 = Srlch2(L=11.881680998220675, C=30.302903726422457, h=263.07387104453124)
accent1 1000 = Srlch2(L=0.0, C=0.0, h=0.0)
accent2 0 = Srlch2(L=99.99971911009246, C=0.0037769306395992776, h=187.52523775629302)
accent2 10 = Srlch2(L=98.86458176187615, C=2.08446207242072, h=306.24795483503755)
accent2 50 = Srlch2(L=94.43623294125123, C=8.63376040952439, h=284.4985024225103)
accent2 100 = Srlch2(L=89.89564603999236, C=15.798572445035145, h=285.1072431922028)
accent2 200 = Srlch2(L=79.8733379345945, C=15.65743955440914, h=284.9789888280828)
accent2 300 = Srlch2(L=69.95438453680478, C=15.534022069018398, h=284.8265581491978)
accent2 400 = Srlch2(L=60.04241124417168, C=15.478382349183434, h=283.25045514899296)
accent2 500 = Srlch2(L=49.20917716820321, C=15.986256251271438, h=284.3699320603486)
accent2 600 = Srlch2(L=39.772466140110126, C=16.01942231010473, h=282.60665638483664)
accent2 700 = Srlch2(L=29.977222835847467, C=15.506430469367395, h=282.0440032680452)
accent2 800 = Srlch2(L=20.003950006938155, C=15.130893557740029, h=279.5631559819137)
accent2 900 = Srlch2(L=9.875639875073167, C=15.55582570933727, h=276.41798441734875)
accent2 1000 = Srlch2(L=0.0, C=0.0, h=0.0)
accent3 0 = Srlch2(L=99.99971911009246, C=0.0037769306395992776, h=187.52523775629302)
accent3 10 = Srlch2(L=98.9720821326506, C=1.6505479241864185, h=343.3209994901514)
accent3 50 = Srlch2(L=94.17777918851078, C=14.326343001517907, h=323.247504997897)
accent3 100 = Srlch2(L=89.9854801664664, C=21.073662212421254, h=314.92185036179916)
accent3 200 = Srlch2(L=80.01110200463684, C=22.76320745232003, h=312.1205106097875)
accent3 300 = Srlch2(L=70.02764067255258, C=22.727452541664192, h=311.8178024360089)
accent3 400 = Srlch2(L=59.849302789105536, C=22.89625596914109, h=312.478033177357)
accent3 500 = Srlch2(L=49.092064501515615, C=22.38061507134427, h=311.8081335922714)
accent3 600 = Srlch2(L=40.09072802347897, C=22.426762692138254, h=311.4408515621159)
accent3 700 = Srlch2(L=29.99846510617189, C=22.80809686628915, h=312.2100214306653)
accent3 800 = Srlch2(L=19.98977646520828, C=22.411406136323404, h=311.3340189330944)
accent3 900 = Srlch2(L=9.987630091381277, C=22.199844282472856, h=311.6188624591395)
accent3 1000 = Srlch2(L=0.0, C=0.0, h=0.0)
