neutral1 0 = Cam16Ucs(J=100.0, C=2.2084816, h=209.4927196452843)
neutral1 10 = Cam16Ucs(J=98.49278, C=2.9194317, h=265.5208443254855)
neutral1 50 = Cam16Ucs(J=93.24158, C=2.9027915, h=266.99608327796284)
neutral1 100 = Cam16Ucs(J=86.52911, C=3.0794773, h=260.10791913731305)
neutral1 200 = Cam16Ucs(J=73.66812, C=3.0368924, h=263.624674673491)
neutral1 300 = Cam16Ucs(J=61.60286, C=3.225487, h=258.42542471024603)
neutral1 400 = Cam16Ucs(J=50.250973, C=2.9958043, h=271.3800813864637)
neutral1 500 = Cam16Ucs(J=39.351856, C=3.0061698, h=275.74353407716796)
neutral1 600 = Cam16Ucs(J=30.451685, C=2.6536844, h=263.68846888290153)
neutral1 700 = Cam16Ucs(J=22.154125, C=2.9298942, h=255.96360839710027)
neutral1 800 = Cam16Ucs(J=14.694264, C=2.6948974, h=273.0441886206394)
neutral1 900 = Cam16Ucs(J=8.509268, C=2.0427544, h=273.155711765109)
neutral1 1000 = Cam16Ucs(J=0.0, C=0.0, h=0.0)
neutral2 0 = Cam16Ucs(J=100.0, C=2.2084816, h=209.4927196452843)
neutral2 10 = Cam16Ucs(J=98.49278, C=2.9194317, h=265.5208443254855)
neutral2 50 = Cam16Ucs(J=93.1415, C=5.849111, h=265.91246052815063)
neutral2 100 = Cam16Ucs(J=86.43285, C=6.0385065, h=262.87116815000877)
neutral2 200 = Cam16Ucs(J=73.57649, C=6.100387, h=264.4781479671389)
neutral2 300 = Cam16Ucs(J=61.585426, C=5.7745194, h=263.9966469538866)
neutral2 400 = Cam16Ucs(J=50.44272, C=6.04426, h=261.4445875596301)
neutral2 500 = Cam16Ucs(J=39.498283, C=5.7269163, h=260.565323850461)
neutral2 600 = Cam16Ucs(J=30.441036, C=5.644039, h=267.17645510858927)
neutral2 700 = Cam16Ucs(J=21.890882, C=5.810809, h=269.1164474324237)
neutral2 800 = Cam16Ucs(J=14.693286, C=6.02613, h=270.9723190800697)
neutral2 900 = Cam16Ucs(J=8.513147, C=5.743807, h=270.7932042893601)
neutral2 1000 = Cam16Ucs(J=0.0, C=0.0, h=0.0)
accent1 0 = Cam16Ucs(J=100.0, C=2.2084816, h=209.4927196452843)
accent1 10 = Cam16Ucs(J=98.49278, C=2.9194317, h=265.5208443254855)
accent1 50 = Cam16Ucs(J=92.89187, C=8.236666, h=261.8432521532583)
accent1 100 = Cam16Ucs(J=86.16195, C=13.46575, h=263.9495458921343)
accent1 200 = Cam16Ucs(J=73.625824, C=21.583155, h=264.6355155198946)
accent1 300 = Cam16Ucs(J=61.52497, C=27.252007, h=265.38358508584884)
accent1 400 = Cam16Ucs(J=50.20004, C=27.236023, h=265.5378924482286)
accent1 500 = Cam16Ucs(J=39.507793, C=27.389727, h=265.817520679999)
accent1 600 = Cam16Ucs(J=30.495491, C=27.330809, h=265.570158769427)
accent1 700 = Cam16Ucs(J=22.011904, C=27.443113, h=266.1742206323919)
accent1 800 = Cam16Ucs(J=14.881353, C=24.80665, h=267.07012273801683)
accent1 900 = Cam16Ucs(J=8.691029, C=19.83891, h=266.9483266221033)
accent1 1000 = Cam16Ucs(J=0.0, C=0.0, h=0.0)
accent2 0 = Cam16Ucs(J=100.0, C=2.2084816, h=209.4927196452843)
accent2 10 = Cam16Ucs(J=98.49278, C=2.9194317, h=265.5208443254855)
accent2 50 = Cam16Ucs(J=92.89187, C=8.236666, h=261.8432521532583)
accent2 100 = Cam16Ucs(J=86.44041, C=11.128977, h=266.89311156666764)
accent2 200 = Cam16Ucs(J=73.59159, C=11.331274, h=267.68792701080963)
accent2 300 = Cam16Ucs(J=61.605972, C=11.232728, h=267.66175379978324)
accent2 400 = Cam16Ucs(J=50.119102, C=11.1505995, h=267.6443777549061)
accent2 500 = Cam16Ucs(J=39.501606, C=11.217184, h=265.6276414695528)
accent2 600 = Cam16Ucs(J=30.415842, C=11.015417, h=267.52296439155015)
accent2 700 = Cam16Ucs(J=22.115452, C=11.112712, h=265.3126606866016)
accent2 800 = Cam16Ucs(J=14.686495, C=11.354338, h=268.50544597160444)
accent2 900 = Cam16Ucs(J=8.513725, C=10.925348, h=267.66093412888205)
accent2 1000 = Cam16Ucs(J=0.0, C=0.0, h=0.0)
accent3 0 = Cam16Ucs(J=100.0, C=2.2084816, h=209.4927196452843)
accent3 10 = Cam16Ucs(J=98.5674, C=0.59212035, h=268.7250775693148)
accent3 50 = Cam16Ucs(J=93.51657, C=10.122546, h=322.54071123732484)
accent3 100 = Cam16Ucs(J=87.39985, C=17.56192, h=326.9290801818897)
accent3 200 = Cam16Ucs(J=74.995476, C=19.801483, h=326.0120041542858)
accent3 300 = Cam16Ucs(J=62.5219, C=20.215855, h=325.82294601956926)
accent3 400 = Cam16Ucs(J=51.44079, C=19.827251, h=325.9380485194317)
accent3 500 = Cam16Ucs(J=40.321007, C=20.007483, h=325.6257702656804)
accent3 600 = Cam16Ucs(J=31.19234, C=19.821512, h=325.0487047767035)
accent3 700 = Cam16Ucs(J=22.798508, C=19.759626, h=325.3657843179476)
accent3 800 = Cam16Ucs(J=15.314515, C=20.006279, h=326.0276619955499)
accent3 900 = Cam16Ucs(J=9.131312, C=20.12939, h=325.94230921164853)
accent3 1000 = Cam16Ucs(J=0.0, C=0.0, h=0.0)
