neutral1 0 = Cam16(J=100.0, M=2.2650306, C=2.8690062, h=209.49272, Q=155.52122, s=12.068192)
neutral1 10 = Cam16(J=98.49278, M=3.0187876, C=3.823754, h=265.52084, Q=154.34476, s=13.985254)
neutral1 50 = Cam16(J=93.24158, M=3.0010028, C=3.801227, h=266.9961, Q=150.1739, s=14.136307)
neutral1 100 = Cam16(J=86.52911, M=3.1901627, C=4.040827, h=260.1079, Q=144.66745, s=14.849813)
neutral1 200 = Cam16(J=73.66812, M=3.1444983, C=3.982986, h=263.62466, Q=133.48409, s=15.348324)
neutral1 300 = Cam16(J=61.60286, M=3.347054, C=4.2395535, h=258.4254, Q=122.06472, s=16.559082)
neutral1 400 = Cam16(J=50.250973, M=3.1004884, C=3.9272408, h=271.38007, Q=110.245766, s=16.77004)
neutral1 500 = Cam16(J=39.351856, M=3.1115882, C=3.9413004, h=275.74353, Q=97.56011, s=17.85891)
neutral1 600 = Cam16(J=30.451685, M=2.7356098, C=3.4650662, h=263.68848, Q=85.82136, s=17.853746)
neutral1 700 = Cam16(J=22.154125, M=3.029971, C=3.8379195, h=255.9636, Q=73.201, s=20.34514)
neutral1 800 = Cam16(J=14.694264, M=2.7794135, C=3.5205505, h=273.0442, Q=59.616108, s=21.592096)
neutral1 900 = Cam16(J=8.509268, M=2.0910714, C=2.6486604, h=273.1557, Q=45.366554, s=21.469234)
neutral1 1000 = Cam16(J=0.0, M=0.0, C=0.0, h=0.0, Q=0.0, s=0.0)
neutral2 0 = Cam16(J=100.0, M=2.2650306, C=2.8690062, h=209.49272, Q=155.52122, s=12.068192)
neutral2 10 = Cam16(J=98.49278, M=3.0187876, C=3.823754, h=265.52084, Q=154.34476, s=13.985254)
neutral2 50 = Cam16(J=93.1415, M=6.2570596, C=7.925519, h=265.91245, Q=150.0933, s=20.417591)
neutral2 100 = Cam16(J=86.43285, M=6.4739423, C=8.200233, h=262.87115, Q=144.58696, s=21.160204)
neutral2 200 = Cam16(J=73.57649, M=6.5450068, C=8.290248, h=264.47815, Q=133.40105, s=22.150085)
neutral2 300 = Cam16(J=61.585426, M=6.1718974, C=7.817648, h=263.99664, Q=122.04743, s=22.487698)
neutral2 400 = Cam16(J=50.44272, M=6.4805474, C=8.2086, h=261.44458, Q=110.45591, s=24.222076)
neutral2 500 = Cam16(J=39.498283, M=6.117629, C=7.7489085, h=260.5653, Q=97.74146, s=25.017977)
neutral2 600 = Cam16(J=30.441036, M=6.023278, C=7.6293993, h=267.17645, Q=85.80634, s=26.494562)
neutral2 700 = Cam16(J=21.890882, M=6.213311, C=7.870105, h=269.11646, Q=72.76479, s=29.221392)
neutral2 800 = Cam16(J=14.693286, M=6.4597435, C=8.182249, h=270.9723, Q=59.61412, s=32.91797)
neutral2 900 = Cam16(J=8.513147, M=6.1368775, C=7.7732897, h=270.79318, Q=45.376892, s=36.77531)
neutral2 1000 = Cam16(J=0.0, M=0.0, C=0.0, h=0.0, Q=0.0, s=0.0)
accent1 0 = Cam16(J=100.0, M=2.2650306, C=2.8690062, h=209.49272, Q=155.52122, s=12.068192)
accent1 10 = Cam16(J=98.49278, M=3.0187876, C=3.823754, h=265.52084, Q=154.34476, s=13.985254)
accent1 50 = Cam16(J=92.89187, M=9.060847, C=11.476943, h=261.84323, Q=149.89203, s=24.586412)
accent1 100 = Cam16(J=86.16195, M=15.7617035, C=19.964598, h=263.94955, Q=144.36018, s=33.042877)
accent1 200 = Cam16(J=73.625824, M=27.883373, C=35.31854, h=264.6355, Q=133.44577, s=45.710953)
accent1 300 = Cam16(J=61.52497, M=37.782074, C=47.85675, h=265.38358, Q=121.98751, s=55.652565)
accent1 400 = Cam16(J=50.20004, M=37.75233, C=47.819077, h=265.53787, Q=110.18988, s=58.53303)
accent1 500 = Cam16(J=39.507793, M=38.038837, C=48.18198, h=265.8175, Q=97.75322, s=62.380386)
accent1 600 = Cam16(J=30.495491, M=37.92889, C=48.042717, h=265.57016, Q=85.883064, s=66.45556)
accent1 700 = Cam16(J=22.011904, M=38.138588, C=48.30833, h=266.1742, Q=72.96565, s=72.29746)
accent1 800 = Cam16(J=14.881353, M=33.354782, C=42.248913, h=267.07013, Q=59.994423, s=74.56304)
accent1 900 = Cam16(J=8.691029, M=25.08623, C=31.77553, h=266.94833, Q=45.848515, s=73.96991)
accent1 1000 = Cam16(J=0.0, M=0.0, C=0.0, h=0.0, Q=0.0, s=0.0)
accent2 0 = Cam16(J=100.0, M=2.2650306, C=2.8690062, h=209.49272, Q=155.52122, s=12.068192)
accent2 10 = Cam16(J=98.49278, M=3.0187876, C=3.823754, h=265.52084, Q=154.34476, s=13.985254)
accent2 50 = Cam16(J=92.89187, M=9.060847, C=11.476943, h=261.84323, Q=149.89203, s=24.586412)
accent2 100 = Cam16(J=86.44041, M=12.668312, C=16.046347, h=266.8931, Q=144.59328, s=29.599566)
accent2 200 = Cam16(J=73.59159, M=12.929645, C=16.377363, h=267.68793, Q=133.41472, s=31.13088)
accent2 300 = Cam16(J=61.605972, M=12.802189, C=16.215921, h=267.66174, Q=122.067795, s=32.384827)
accent2 400 = Cam16(J=50.119102, M=12.696187, C=16.081654, h=267.64438, Q=110.10101, s=33.95791)
accent2 500 = Cam16(J=39.501606, M=12.782108, C=16.190487, h=265.62762, Q=97.74556, s=36.162025)
accent2 600 = Cam16(J=30.415842, M=12.522141, C=15.861198, h=267.52295, Q=85.77083, s=38.209335)
