neutral1 0 = CieLch(L=100.0, C=0.011662039483869973, h=296.81292623674057)
neutral1 10 = CieLch(L=98.8664688481656, C=2.171299817526351, h=309.07171103308224)
neutral1 50 = CieLch(L=95.04674682777006, C=2.1892612949523307, h=309.0772995823676)
neutral1 100 = CieLch(L=90.06174746352252, C=2.121799433411153, h=300.0009562301346)
neutral1 200 = CieLch(L=80.06389844377821, C=2.1737956034800066, h=300.01687754662237)
neutral1 300 = CieLch(L=70.09098869606981, C=2.196005751779902, h=290.4227797877006)
neutral1 400 = CieLch(L=59.98292068275278, C=2.3027276057607984, h=300.06163026279387)
neutral1 500 = CieLch(L=49.44100510737171, C=2.3892126653296732, h=300.0966694732656)
neutral1 600 = CieLch(L=39.99532804681016, C=1.8326287867884057, h=290.4789845982098)
neutral1 700 = CieLch(L=30.164340045721396, C=1.9625015304787812, h=277.85685405162934)
neutral1 800 = CieLch(L=19.968847756930842, C=2.045205106613761, h=290.67698836385676)
neutral1 900 = CieLch(L=9.841764352208791, C=1.480961243291178, h=290.68072917171224)
neutral1 1000 = CieLch(L=0.0, C=0.0, h=0.0)
neutral2 0 = CieLch(L=100.0, C=0.011662039483869973, h=296.81292623674057)
neutral2 10 = CieLch(L=98.8664688481656, C=2.171299817526351, h=309.07171103308224)
neutral2 50 = CieLch(L=94.98086581744036, C=5.150634874672555, h=286.73268279917954)
neutral2 100 = CieLch(L=89.99665701866675, C=5.238310695629037, h=282.9394048586654)
neutral2 200 = CieLch(L=79.99813977357151, C=5.368357609530635, h=283.0119252367733)
neutral2 300 = CieLch(L=70.07500223436546, C=4.973670996607202, h=282.1935603348227)
neutral2 400 = CieLch(L=60.1898994997626, C=5.186623418444562, h=278.1908980740297)
neutral2 500 = CieLch(L=49.62691451996341, C=4.811332563787332, h=276.7473399331249)
neutral2 600 = CieLch(L=39.981833245139356, C=4.930918396297501, h=281.517312326435)
neutral2 700 = CieLch(L=29.81090852171834, C=5.181537811313698, h=281.82531387710293)
neutral2 800 = CieLch(L=19.96471009329388, C=5.500527161098135, h=282.3183235033426)
neutral2 900 = CieLch(L=9.845240925316173, C=5.237843900720269, h=281.6850349926505)
neutral2 1000 = CieLch(L=0.0, C=0.0, h=0.0)
accent1 0 = CieLch(L=100.0, C=0.011662039483869973, h=296.81292623674057)
accent1 10 = CieLch(L=98.8664688481656, C=2.171299817526351, h=309.07171103308224)
accent1 50 = CieLch(L=94.82405636971478, C=7.870292263293955, h=278.2301828013442)
accent1 100 = CieLch(L=89.81700559016973, C=15.50738627940504, h=276.44200797251324)
accent1 200 = CieLch(L=80.08811075700379, C=30.666947576730728, h=276.9464338031914)
accent1 300 = CieLch(L=70.0613462083592, C=44.662708383795696, h=279.52865778650545)
accent1 400 = CieLch(L=59.98258777403797, C=44.798468730127325, h=280.45859205743096)
accent1 500 = CieLch(L=49.633454675269235, C=45.68065897477287, h=281.94358366647316)
accent1 600 = CieLch(L=40.05512681412721, C=46.11546206221755, h=283.30104927563093)
accent1 700 = CieLch(L=29.93812787507506, C=48.11032120442409, h=286.43485198181463)
accent1 800 = CieLch(L=20.19028017815446, C=42.05245313186892, h=288.31641037616424)
accent1 900 = CieLch(L=10.137936626792555, C=30.176144330230496, h=288.12808368752394)
accent1 1000 = CieLch(L=0.0, C=0.0, h=0.0)
accent2 0 = CieLch(L=100.0, C=0.011662039483869973, h=296.81292623674057)
accent2 10 = CieLch(L=98.8664688481656, C=2.171299817526351, h=309.07171103308224)
accent2 50 = CieLch(L=94.82405636971478, C=7.870292263293955, h=278.2301828013442)
accent2 100 = CieLch(L=89.99489719655526, C=12.142597320991563, h=279.8650137314822)
accent2 200 = CieLch(L=80.00208886072859, C=12.44160262429545, h=280.0640698521471)
accent2 300 = CieLch(L=70.08375498092688, C=12.243161340260627, h=279.7381779566713)
accent2 400 = CieLch(L=59.87201695185243, C=12.075122479908524, h=279.4328197496557)
accent2 500 = CieLch(L=49.625439125162984, C=12.008959739018662, h=277.46312696754813)
accent2 600 = CieLch(L=39.955042737826574, C=11.814091641738305, h=278.9533736124379)
accent2 700 = CieLch(L=30.11919566198899, C=11.82891385432725, h=277.116277134024)
accent2 800 = CieLch(L=19.958266497469623, C=12.462501993911125, h=280.28038108703333)
accent2 900 = CieLch(L=9.85282698062413, C=12.022624153309406, h=280.6650346749123)
accent2 1000 = CieLch(L=0.0, C=0.0, h=0.0)
accent3 0 = CieLch(L=100.0, C=0.011662039483869973, h=296.81292623674057)
accent3 10 = CieLch(L=98.9147105546276, C=1.4055757373314044, h=19.030487595506003)
accent3 50 = CieLch(L=94.87626222539208, C=13.109056789323457, h=324.8734371487973)
accent3 100 = CieLch(L=89.89113562435209, C=26.318701973305195, h=325.3410729210704)
accent3 200 = CieLch(L=80.17237526846773, C=30.717491045459617, h=323.8563808842008)
accent3 300 = CieLch(L=69.89632419573353, C=31.303905107182405, h=323.4013374938968)
accent3 400 = CieLch(L=60.15087729165593, C=30.164728282939766, h=323.33490304290814)
accent3 500 = CieLch(L=49.49592245491367, C=30.269394417173878, h=322.80043621430195)
accent3 600 = CieLch(L=39.901396792896776, C=29.683107169199754, h=322.12018809166693)
accent3 700 = CieLch(L=30.04474505517458, C=29.350809670181462, h=322.14877472159316)
accent3 800 = CieLch(L=19.94459243029295, C=29.75813944772929, h=322.3969293061033)
accent3 900 = CieLch(L=9.99777918015063, C=30.372847724117456, h=322.0597358162746)
accent3 1000 = CieLch(L=0.0, C=0.0, h=0.0)
