neutral1 0 = IptLch(L=0.9999879031114021, C=1.6258516168654594E-4, h=89.3894897830787)
neutral1 10 = IptLch(L=0.9911664118286307, C=0.015257048339753481, h=131.0819048869849)
neutral1 50 = IptLch(L=0.9460808494366995, C=0.01797006111413003, h=139.2946999440826)
neutral1 100 = IptLch(L=0.8939761305629905, C=0.013731907672249802, h=152.7612922356462)
neutral1 200 = IptLch(L=0.7871487788387564, C=0.01366946922754117, h=152.83422353169672)
neutral1 300 = IptLch(L=0.6823916808458454, C=0.017133458890303477, h=148.3537108349356)
neutral1 400 = IptLch(L=0.5824520722343213, C=0.013525616694249457, h=152.9851401420518)
neutral1 500 = IptLch(L=0.4817857456017738, C=0.016754686296486992, h=157.89094332891656)
neutral1 600 = IptLch(L=0.3934888448296471, C=0.014097003191386116, h=175.92219513360843)
neutral1 700 = IptLch(L=0.30509965871205813, C=0.013344390107790002, h=165.03383148066285)
neutral1 800 = IptLch(L=0.22344308576124394, C=0.013863067090828381, h=176.25975715209518)
neutral1 900 = IptLch(L=0.14703283980023776, C=0.013696995239376876, h=176.5843802673987)
neutral1 1000 = IptLch(L=0.0, C=0.0, h=0.0)
neutral2 0 = IptLch(L=0.9999879031114021, C=1.6258516168654594E-4, h=89.3894897830787)
neutral2 10 = IptLch(L=0.9904297213238137, C=0.014262365755737442, h=141.35061882071273)
neutral2 50 = IptLch(L=0.9509566552439797, C=0.041965511783527795, h=168.83219844801363)
neutral2 100 = IptLch(L=0.896479690904576, C=0.03830356875469978, h=168.1310409054328)
neutral2 200 = IptLch(L=0.7896536811638021, C=0.038152389359329, h=168.206389006754)
neutral2 300 = IptLch(L=0.6863490650011546, C=0.038637106415960104, h=172.3349151671762)
neutral2 400 = IptLch(L=0.5854971005620313, C=0.032130459211209876, h=176.17758693142505)
neutral2 500 = IptLch(L=0.4848450984631525, C=0.03551245211014577, h=176.38101607829327)
neutral2 600 = IptLch(L=0.39725769147942636, C=0.032777372640888834, h=180.90951749888316)
neutral2 700 = IptLch(L=0.30886140803527967, C=0.03154356479602668, h=176.67316835640295)
neutral2 800 = IptLch(L=0.22633058032604825, C=0.028798765053174517, h=181.83318105377745)
neutral2 900 = IptLch(L=0.14996393127922078, C=0.028485945659189823, h=182.3640811624474)
neutral2 1000 = IptLch(L=0.0, C=0.0, h=0.0)
accent1 0 = IptLch(L=0.9999879031114021, C=1.6258516168654594E-4, h=89.3894897830787)
accent1 10 = IptLch(L=0.9904297213238137, C=0.014262365755737442, h=141.35061882071273)
accent1 50 = IptLch(L=0.953168408664237, C=0.0580013607583932, h=176.246393374825)
accent1 100 = IptLch(L=0.9076252550268582, C=0.11551549691506058, h=180.75966140130808)
accent1 200 = IptLch(L=0.8205828143139399, C=0.22862241676406908, h=184.59527598206776)
accent1 300 = IptLch(L=0.7358170788143555, C=0.33157493943975974, h=186.2244170731326)
accent1 400 = IptLch(L=0.6327437759429032, C=0.32287933997919926, h=186.86608248849288)
accent1 500 = IptLch(L=0.5311893619397973, C=0.3126932920543603, h=187.3164068906902)
accent1 600 = IptLch(L=0.4407096412620891, C=0.3046620318712287, h=188.71493793620613)
accent1 700 = IptLch(L=0.3517617068258294, C=0.3003575282850267, h=189.87459937654205)
accent1 800 = IptLch(L=0.2684530160371704, C=0.29694884939556426, h=192.7522553806769)
accent1 900 = IptLch(L=0.19202719171559657, C=0.29245483991179955, h=196.5631474773002)
accent1 1000 = IptLch(L=0.0, C=0.0, h=0.0)
accent2 0 = IptLch(L=0.9999879031114021, C=1.6258516168654594E-4, h=89.3894897830787)
accent2 10 = IptLch(L=0.9904297213238137, C=0.014262365755737442, h=141.35061882071273)
accent2 50 = IptLch(L=0.953168408664237, C=0.0580013607583932, h=176.246393374825)
