neutral1 0 = Oklch(L=0.9999999934735462, C=3.727399553519285E-8, h=89.87556309590244)
neutral1 10 = Oklch(L=0.9907341815315888, C=0.00565792385195497, h=308.3971266514104)
neutral1 50 = Oklch(L=0.9578099225816797, C=0.0057060036455206155, h=308.3943760655971)
neutral1 100 = Oklch(L=0.9147142918927789, C=0.005475359897793702, h=297.7185737515813)
neutral1 200 = Oklch(L=0.8285359880763902, C=0.005613131020743012, h=297.7045541627647)
neutral1 300 = Oklch(L=0.7424401485862377, C=0.005675648188760899, h=286.2606727016423)
neutral1 400 = Oklch(L=0.6554491397608746, C=0.005953702440318995, h=297.6635347304943)
neutral1 500 = Oklch(L=0.56458747556168, C=0.006181537818420783, h=297.6303886557202)
neutral1 600 = Oklch(L=0.4829500704940509, C=0.004742411484025251, h=286.22080925834933)
neutral1 700 = Oklch(L=0.39805734339590365, C=0.005178697678343668, h=271.2850991732626)
neutral1 800 = Oklch(L=0.3103382668144527, C=0.005305728944934367, h=286.0865230373763)
neutral1 900 = Oklch(L=0.22296358709559266, C=0.0038420853261463936, h=286.08401255730377)
neutral1 1000 = Oklch(L=0.0, C=0.0, h=0.0)
neutral2 0 = Oklch(L=0.9999999934735462, C=3.727399553519285E-8, h=89.87556309590244)
neutral2 10 = Oklch(L=0.9907341815315888, C=0.00565792385195497, h=308.3971266514104)
neutral2 50 = Oklch(L=0.9572621681616168, C=0.013399640702748468, h=281.56352488604546)
neutral2 100 = Oklch(L=0.9141759470136039, C=0.013707153233722721, h=277.0496837699579)
neutral2 200 = Oklch(L=0.8279947638564025, C=0.014058336061285651, h=277.02104053019434)
neutral2 300 = Oklch(L=0.7423927811101456, C=0.013046520868400338, h=276.03100300221865)
neutral2 400 = Oklch(L=0.6570557131507954, C=0.01373621724423712, h=271.2045680625741)
neutral2 500 = Oklch(L=0.5659315917273832, C=0.01279590823345165, h=269.4533506843214)
neutral2 600 = Oklch(L=0.4829440153407275, C=0.013001375805446445, h=274.6902097240383)
neutral2 700 = Oklch(L=0.3952912954566273, C=0.013693295554835309, h=274.5842614020008)
neutral2 800 = Oklch(L=0.3104503893305968, C=0.014582051177058651, h=274.4088656061619)
neutral2 900 = Oklch(L=0.22317070252135082, C=0.013980708512532247, h=272.67840901467923)
neutral2 1000 = Oklch(L=0.0, C=0.0, h=0.0)
accent1 0 = Oklch(L=0.9999999934735462, C=3.727399553519285E-8, h=89.87556309590244)
accent1 10 = Oklch(L=0.9907341815315888, C=0.00565792385195497, h=308.3971266514104)
accent1 50 = Oklch(L=0.9557554017884953, C=0.020851261732760806, h=271.19502577608876)
accent1 100 = Oklch(L=0.9127619983681104, C=0.04174247687602588, h=267.67623601933224)
accent1 200 = Oklch(L=0.8294577237311395, C=0.0844582723632084, h=264.58727264022843)
accent1 300 = Oklch(L=0.7441686504585361, C=0.12471035656011074, h=262.9858829665504)
accent1 400 = Oklch(L=0.6575206755782949, C=0.12551345912313966, h=262.39020792549894)
accent1 500 = Oklch(L=0.5687373728376333, C=0.12839962571347133, h=261.57818774349977)
accent1 600 = Oklch(L=0.4865059268639424, C=0.13034039196806604, h=260.02455621384803)
accent1 700 = Oklch(L=0.4003061395589507, C=0.13584724526756942, h=258.37253322051663)
accent1 800 = Oklch(L=0.3162535079325025, C=0.11793369798029409, h=258.16459211005355)
accent1 900 = Oklch(L=0.22834642531063085, C=0.08474359874433482, h=258.05598973807156)
accent1 1000 = Oklch(L=0.0, C=0.0, h=0.0)
accent2 0 = Oklch(L=0.9999999934735462, C=3.727399553519285E-8, h=89.87556309590244)
accent2 10 = Oklch(L=0.9907341815315888, C=0.00565792385195497, h=308.3971266514104)
accent2 50 = Oklch(L=0.9557554017884953, C=0.020851261732760806, h=271.19502577608876)
accent2 100 = Oklch(L=0.9144577648471099, C=0.03224146926668034, h=272.2611761553763)
accent2 200 = Oklch(L=0.828345835278689, C=0.03308125820431375, h=272.2032828337617)
accent2 300 = Oklch(L=0.7428036489499963, C=0.032631854551037634, h=271.5761536075148)
accent2 400 = Oklch(L=0.65473574283155, C=0.03227848987802198, h=270.8847770589744)
accent2 500 = Oklch(L=0.5662376627161723, C=0.032392490797082445, h=268.11138305103515)
accent2 600 = Oklch(L=0.48297982256414135, C=0.03183163162757137, h=269.2687103091629)
accent2 700 = Oklch(L=0.3980339381857608, C=0.032270915306239656, h=266.16359471528926)
accent2 800 = Oklch(L=0.31072153962797167, C=0.03395036442640467, h=267.9501777867151)
accent2 900 = Oklch(L=0.22359038235691125, C=0.033134256299099996, h=265.7093191866337)
accent2 1000 = Oklch(L=0.0, C=0.0, h=0.0)
accent3 0 = Oklch(L=0.9999999934735462, C=3.727399553519285E-8, h=89.87556309590244)
accent3 10 = Oklch(L=0.9911461962063753, C=0.00426349974278281, h=17.229526187436356)
accent3 50 = Oklch(L=0.9598901547393445, C=0.03561632559062388, h=325.8508054977193)
accent3 100 = Oklch(L=0.9211903076760223, C=0.07182628707239327, h=326.1414384399397)
accent3 200 = Oklch(L=0.8387048766478753, C=0.08350530663322456, h=324.3111582763343)
accent3 300 = Oklch(L=0.7502988785020114, C=0.08500389983316574, h=323.68679093150666)
accent3 400 = Oklch(L=0.6659584303393499, C=0.08191184096273611, h=323.5425540947024)
accent3 500 = Oklch(L=0.5741488845624835, C=0.08205937645386188, h=322.7585762369051)
accent3 600 = Oklch(L=0.49124666955576435, C=0.08025778605470922, h=321.76370821079615)
accent3 700 = Oklch(L=0.40629765342715374, C=0.07933604982212926, h=321.55001930120693)
accent3 800 = Oklch(L=0.31961510132434157, C=0.08040217242323668, h=321.4430099416429)
accent3 900 = Oklch(L=0.23444101822712335, C=0.08144215083539678, h=320.211508962232)
accent3 1000 = Oklch(L=0.0, C=0.0, h=0.0)
