neutral1 0 = Srlch2(L=99.99971911009246, C=0.0037769306395992776, h=187.52523775629302)
neutral1 10 = Srlch2(L=98.86458176187615, C=2.08446207242072, h=306.24795483503755)
neutral1 50 = Srlch2(L=95.04485539528835, C=2.1021386133988416, h=306.25147951549616)
neutral1 100 = Srlch2(L=90.0569450575165, C=2.060540800484908, h=296.81242999487927)
neutral1 200 = Srlch2(L=80.05900298756859, C=2.11194733700407, h=296.8143239340858)
neutral1 300 = Srlch2(L=70.0829125133841, C=2.16239048734442, h=287.05118792369507)
neutral1 400 = Srlch2(L=59.97777565767572, C=2.2385538010401276, h=296.8068141440293)
neutral1 500 = Srlch2(L=49.43567912471518, C=2.322837105279919, h=296.7929969723556)
neutral1 600 = Srlch2(L=39.988614814976, C=1.8052029050364424, h=287.0362798482063)
neutral1 700 = Srlch2(L=30.153679519367756, C=1.9673366660717564, h=274.45023308011037)
neutral1 800 = Srlch2(L=19.961322216486355, C=2.01332106185865, h=286.92581452627104)
neutral1 900 = Srlch2(L=9.836331903639921, C=1.4578956661169051, h=286.9348756501886)
neutral1 1000 = Srlch2(L=0.0, C=0.0, h=0.0)
neutral2 0 = Srlch2(L=99.99971911009246, C=0.0037769306395992776, h=187.52523775629302)
neutral2 10 = Srlch2(L=98.86458176187615, C=2.08446207242072, h=306.24795483503755)
neutral2 50 = Srlch2(L=94.95898397033734, C=5.100434097494714, h=283.08880362485894)
neutral2 100 = Srlch2(L=89.97156457614085, C=5.215320984780264, h=279.2838706710027)
neutral2 200 = Srlch2(L=79.97237167556871, C=5.343975671450567, h=279.2521172377634)
neutral2 300 = Srlch2(L=70.05053911907399, C=4.9568555260509815, h=278.4158677011462)
neutral2 400 = Srlch2(L=60.16137228865336, C=5.198875135575434, h=274.3206561609823)
neutral2 500 = Srlch2(L=49.5994328998999, C=4.832871932563087, h=272.8262375369976)
neutral2 600 = Srlch2(L=39.95657051332822, C=4.916717141269903, h=277.2344310253048)
neutral2 700 = Srlch2(L=29.784061968141998, C=5.160981026453902, h=277.0988453320489)
neutral2 800 = Srlch2(L=19.935677145587622, C=5.468017373104591, h=276.87688323731203)
neutral2 900 = Srlch2(L=9.815923961023987, C=5.20731271213581, h=275.3119052331508)
neutral2 1000 = Srlch2(L=0.0, C=0.0, h=0.0)
accent1 0 = Srlch2(L=99.99971911009246, C=0.0037769306395992776, h=187.52523775629302)
accent1 10 = Srlch2(L=98.86458176187615, C=2.08446207242072, h=306.24795483503755)
accent1 50 = Srlch2(L=94.78068400648051, C=7.888482237828772, h=274.302919196902)
accent1 100 = Srlch2(L=89.72233579039168, C=15.589574680028143, h=271.1433889201693)
accent1 200 = Srlch2(L=79.87408672598757, C=30.860611907880216, h=268.150627539882)
accent1 300 = Srlch2(L=69.71345479664885, C=44.77929244350906, h=266.47878442613126)
accent1 400 = Srlch2(L=59.620285151212784, C=44.842401693271725, h=265.8836395538906)
accent1 500 = Srlch2(L=49.243944742765386, C=45.57905151439016, h=265.0759348825307)
accent1 600 = Srlch2(L=39.632042326730094, C=45.937651254785386, h=263.63304987273773)
accent1 700 = Srlch2(L=29.450862863364762, C=47.487489540052465, h=262.04297545357895)
accent1 800 = Srlch2(L=19.750109468154395, C=41.143564009478325, h=261.76473329372345)
accent1 900 = Srlch2(L=9.821866285765019, C=29.561968019542295, h=261.68149302444556)
accent1 1000 = Srlch2(L=0.0, C=0.0, h=0.0)
accent2 0 = Srlch2(L=99.99971911009246, C=0.0037769306395992776, h=187.52523775629302)
accent2 10 = Srlch2(L=98.86458176187615, C=2.08446207242072, h=306.24795483503755)
accent2 50 = Srlch2(L=94.78068400648051, C=7.888482237828772, h=274.302919196902)
accent2 100 = Srlch2(L=89.92843138735007, C=12.134704585505629, h=275.1175294853549)
accent2 200 = Srlch2(L=79.93351166809732, C=12.426271880159858, h=275.0383468672323)
accent2 300 = Srlch2(L=70.01500174280423, C=12.233032939817212, h=274.4796803336558)
accent2 400 = Srlch2(L=59.802724664434756, C=12.069571971065589, h=273.8567557993632)
accent2 500 = Srlch2(L=49.551676513425754, C=12.049924100088603, h=271.4391235927944)
accent2 600 = Srlch2(L=39.88340412666282, C=11.815727170656007, h=272.3733898570125)
accent2 700 = Srlch2(L=30.04128411042821, C=11.885016021399485, h=269.6230258387633)
accent2 800 = Srlch2(L=19.876359944752988, C=12.419033977002526, h=271.00175895077575)
accent2 900 = Srlch2(L=9.76621210812428, C=11.979520467158045, h=268.8970403983067)
accent2 1000 = Srlch2(L=0.0, C=0.0, h=0.0)
accent3 0 = Srlch2(L=99.99971911009246, C=0.0037769306395992776, h=187.52523775629302)
accent3 10 = Srlch2(L=98.92574092112028, C=1.3729697014707294, h=20.855953326195728)
accent3 50 = Srlch2(L=94.8965768767366, C=12.518431653629865, h=323.1536229099559)
accent3 100 = Srlch2(L=89.92943555820254, C=25.257687790975588, h=323.8230464256061)
accent3 200 = Srlch2(L=80.20724970389962, C=29.478493156666097, h=322.19437377360833)
accent3 300 = Srlch2(L=69.92777444747728, C=30.045397895045337, h=321.6958324190209)
accent3 400 = Srlch2(L=60.179563186460214, C=28.965169532663193, h=321.63737146093695)
accent3 500 = Srlch2(L=49.51946443746953, C=29.058956019147505, h=321.03156013690136)
accent3 600 = Srlch2(L=39.91853237003092, C=28.46164029707499, h=320.2184919936428)
accent3 700 = Srlch2(L=30.057360946523186, C=28.16788048060117, h=320.27057995283974)
accent3 800 = Srlch2(L=19.95015583980046, C=28.63189480275196, h=320.62399466598816)
accent3 900 = Srlch2(L=9.986300739890636, C=29.205999342946665, h=320.16104746243246)
accent3 1000 = Srlch2(L=0.0, C=0.0, h=0.0)
